number	plate	area	mean	IntDen	median	RawIntDen	length	seedling	genotype	KNO3	PLATE	DAY
1	20230730_AV_30_starvation_T6_1mM_0mM_1mM_N1_luc.tif:0186-0060	2069	300.652	622049	294	622049	257.534	seedling1	pNRT2.1:LUC	1mM->0mM->1mM	plate1	T6
2	20230730_AV_30_starvation_T6_1mM_0mM_1mM_N1_luc.tif:0207-0112	2549	328.757	838001	309	838001	317.707	seedling2	pNRT2.1:LUC	1mM->0mM->1mM	plate1	T6
3	20230730_AV_30_starvation_T6_1mM_0mM_1mM_N1_luc.tif:0197-0156	2604	312.652	814147	302	814147	325.173	seedling3	pNRT2.1:LUC	1mM->0mM->1mM	plate1	T6
4	20230730_AV_30_starvation_T6_1mM_0mM_1mM_N1_luc.tif:0204-0215	2570	311.215	799822	303	799822	320.814	seedling4	pNRT2.1:LUC	1mM->0mM->1mM	plate1	T6
5	20230730_AV_30_starvation_T6_1mM_0mM_1mM_N1_luc.tif:0223-0267	2927	323.124	945783	311	945783	365.026	seedling5	pNRT2.1:LUC	1mM->0mM->1mM	plate1	T6
6	20230730_AV_30_starvation_T6_1mM_0mM_1mM_N1_luc.tif:0202-0320	2689	323.257	869237	305	869237	334.963	seedling6	pNRT2.1:LUC	1mM->0mM->1mM	plate1	T6
7	20230730_AV_30_starvation_T6_1mM_0mM_1mM_N1_luc.tif:0201-0370	2534	317.76	805203	305	805203	316.209	seedling7	pNRT2.1:LUC	1mM->0mM->1mM	plate1	T6
8	20230730_AV_30_starvation_T6_1mM_0mM_1mM_N1_luc.tif:0204-0415	2485	345.805	859325	315	859325	310.103	seedling8	pNRT2.1:LUC	1mM->0mM->1mM	plate1	T6
9	20230730_AV_30_starvation_T6_1mM_0mM_1mM_N1_luc.tif:0342-0478	1980	285.752	565788	286	565788	246.362	background	pNRT2.1:LUC	1mM->0mM->1mM	plate1	T6
10	20230730_AV_30_starvation_T6_1mM_0mM_1mM_N1_luc.tif:0373-0288	1894	285.289	540337	285	540337	235.783	background	pNRT2.1:LUC	1mM->0mM->1mM	plate1	T6
11	20230730_AV_30_starvation_T6_1mM_0mM_1mM_N1_luc.tif:0366-0051	1881	284.095	534383	284	534383	234.427	background	pNRT2.1:LUC	1mM->0mM->1mM	plate1	T6
