number	plate	area	mean	IntDen	median	RawIntDen	length	seedling	genotype	KNO3	PLATE	DAY
1	20240910_pNRT21_luc_1mM_N1_luc.tif:0168-0124	7804	1132.946	8841507	1065	8841507	1	seedling1	pNRT2.1:luc	1mM	plate1	14
2	20240910_pNRT21_luc_1mM_N1_luc.tif:0140-0188	4697	1119.522	5258393	1063	5258393	1	seedling2	pNRT2.1:luc	1mM	plate1	14
3	20240910_pNRT21_luc_1mM_N1_luc.tif:0154-0253	4507	1115.757	5028716	1068	5028716	1	seedling3	pNRT2.1:luc	1mM	plate1	14
4	20240910_pNRT21_luc_1mM_N1_luc.tif:0163-0305	6498	1154.936	7504775	1076	7504775	1	seedling4	pNRT2.1:luc	1mM	plate1	14
5	20240910_pNRT21_luc_1mM_N1_luc.tif:0115-0356	5333	1096.766	5849055	1063	5849055	1	seedling5	pNRT2.1:luc	1mM	plate1	14
6	20240910_pNRT21_luc_1mM_N1_luc.tif:0140-0417	4190	1075.295	4505484	1056	4505484	1	seedling6	pNRT2.1:luc	1mM	plate1	14
7	20240910_pNRT21_luc_1mM_N1_luc.tif:0157-0471	5216	1083.909	5653668	1060	5653668	1	seedling7	pNRT2.1:luc	1mM	plate1	14
8	20240910_pNRT21_luc_1mM_N1_luc.tif:0188-0534	7618	1183.415	9015257	1077	9015257	1	seedling8	pNRT2.1:luc	1mM	plate1	14
9	20240910_pNRT21_luc_1mM_N1_luc.tif:0166-0579	5173	1170.477	6054876	1071	6054876	1	seedling9	pNRT2.1:luc	1mM	plate1	14
10	20240910_pNRT21_luc_1mM_N1_luc.tif:0160-0656	7335	1112.172	8157784	1056	8157784	1	seedling10	pNRT2.1:luc	1mM	plate1	14
11	20240910_pNRT21_luc_1mM_N1_luc.tif:0168-0124	7804	1043.254	8141551	1043	8141551	1	background	pNRT2.1:luc	1mM	plate1	14
12	20240910_pNRT21_luc_1mM_N1_luc.tif:0166-0579	5173	1040.628	5383168	1040	5383168	1	background	pNRT2.1:luc	1mM	plate1	14
13	20240910_pNRT21_luc_1mM_N1_luc.tif:0285-0321	8828	1040.039	9181466	1040	9181466	1	background	pNRT2.1:luc	1mM	plate1	14
1	20240910_pNRT21_luc_1mM_N2_luc.tif:0149-0115	5260	1085.716	5710868	1054	5710868	1	seedling11	pNRT2.1:luc	1mM	plate2	14
2	20240910_pNRT21_luc_1mM_N2_luc.tif:0144-0175	4412	1089.572	4807190	1058	4807190	1	seedling12	pNRT2.1:luc	1mM	plate2	14
3	20240910_pNRT21_luc_1mM_N2_luc.tif:0187-0227	9897	1132.524	11208590	1068	11208590	1	seedling13	pNRT2.1:luc	1mM	plate2	14
4	20240910_pNRT21_luc_1mM_N2_luc.tif:0187-0285	9921	1117.614	11087849	1068	11087849	1	seedling14	pNRT2.1:luc	1mM	plate2	14
5	20240910_pNRT21_luc_1mM_N2_luc.tif:0154-0352	5519	1090.875	6020540	1060	6020540	1	seedling15	pNRT2.1:luc	1mM	plate2	14
6	20240910_pNRT21_luc_1mM_N2_luc.tif:0149-0405	4445	1067.286	4744085	1053	4744085	1	seedling16	pNRT2.1:luc	1mM	plate2	14
7	20240910_pNRT21_luc_1mM_N2_luc.tif:0175-0459	7018	1133.976	7958246	1067	7958246	1	seedling17	pNRT2.1:luc	1mM	plate2	14
8	20240910_pNRT21_luc_1mM_N2_luc.tif:0189-0514	9083	1139.585	10350855	1070	10350855	1	seedling18	pNRT2.1:luc	1mM	plate2	14
9	20240910_pNRT21_luc_1mM_N2_luc.tif:0184-0577	8411	1130.271	9506710	1065	9506710	1	seedling19	pNRT2.1:luc	1mM	plate2	14
10	20240910_pNRT21_luc_1mM_N2_luc.tif:0140-0642	4362	1052.963	4593025	1044	4593025	1	seedling20	pNRT2.1:luc	1mM	plate2	14
11	20240910_pNRT21_luc_1mM_N2_luc.tif:0259-0091	7427	1038.817	7715296	1038	7715296	1	background	pNRT2.1:luc	1mM	plate2	14
12	20240910_pNRT21_luc_1mM_N2_luc.tif:0353-0290	7932	1038.721	8239135	1038	8239135	1	background	pNRT2.1:luc	1mM	plate2	14
13	20240910_pNRT21_luc_1mM_N2_luc.tif:0318-0533	7719	1039.027	8020252	1039	8020252	1	background	pNRT2.1:luc	1mM	plate2	14
