number	plate	area	mean	IntDen	median	RawIntDen	length	seedling	genotype	KNO3	PLATE	DAY
1	20230724_AV_30_starvation_1mM_N5_luc.tif:0115-0079	888	310.541	275760	298	275760	110.28	seedling33	pNRT2.1:LUC	1mM->1mM->1mM	plate5	T0
2	20230724_AV_30_starvation_1mM_N5_luc.tif:0141-0133	1372	431.578	592125	363	592125	171.315	seedling34	pNRT2.1:LUC	1mM->1mM->1mM	plate5	T0
3	20230724_AV_30_starvation_1mM_N5_luc.tif:0111-0294	959	462.073	443128	402	443128	118.794	seedling35	pNRT2.1:LUC	1mM->1mM->1mM	plate5	T0
4	20230724_AV_30_starvation_1mM_N5_luc.tif:0230-0192	805	309.709	249316	304	249316	99.766	seedling36	pNRT2.1:LUC	1mM->1mM->1mM	plate5	T0
5	20230724_AV_30_starvation_1mM_N5_luc.tif:0355-0174	832	301.636	250961	297	250961	103.173	seedling37	pNRT2.1:LUC	1mM->1mM->1mM	plate5	T0
6	20230724_AV_30_starvation_1mM_N5_luc.tif:0365-0206	1105	395.805	437364	353	437364	136.906	seedling38	pNRT2.1:LUC	1mM->1mM->1mM	plate5	T0
7	20230724_AV_30_starvation_1mM_N5_luc.tif:0373-0242	1221	441.444	539003	383	539003	152.486	seedling39	pNRT2.1:LUC	1mM->1mM->1mM	plate5	T0
8	20230724_AV_30_starvation_1mM_N5_luc.tif:0362-0339	1131	412.691	466754	358	466754	140.831	seedling40	pNRT2.1:LUC	1mM->1mM->1mM	plate5	T0
9	20230724_AV_30_starvation_1mM_N5_luc.tif:0391-0438	1090	286.546	312335	287	312335	135.149	background	pNRT2.1:LUC	1mM->1mM->1mM	plate5	T0
10	20230724_AV_30_starvation_1mM_N5_luc.tif:0403-0287	998	287.652	287077	288	287077	123.83	background	pNRT2.1:LUC	1mM->1mM->1mM	plate5	T0
11	20230724_AV_30_starvation_1mM_N5_luc.tif:0410-0126	916	286.683	262602	287	262602	113.717	background	pNRT2.1:LUC	1mM->1mM->1mM	plate5	T0
1	20230724_AV_30_starvation_1mM_N6_luc.tif:0134-0267	1110	429.983	477281	379	477281	138.68	seedling41	pNRT2.1:LUC	1mM->1mM->1mM	plate6	T0
2	20230724_AV_30_starvation_1mM_N6_luc.tif:0236-0069	980	352.891	345833	311	345833	121.9	seedling42	pNRT2.1:LUC	1mM->1mM->1mM	plate6	T0
3	20230724_AV_30_starvation_1mM_N6_luc.tif:0242-0415	1037	439.522	455784	389	455784	129.137	seedling43	pNRT2.1:LUC	1mM->1mM->1mM	plate6	T0
4	20230724_AV_30_starvation_1mM_N6_luc.tif:0355-0196	904	297.621	269049	291	269049	111.968	seedling44	pNRT2.1:LUC	1mM->1mM->1mM	plate6	T0
5	20230724_AV_30_starvation_1mM_N6_luc.tif:0358-0263	906	351.946	318863	324	318863	113.055	seedling45	pNRT2.1:LUC	1mM->1mM->1mM	plate6	T0
1	20230724_AV_30_starvation_1mM_N7_luc.tif:0124-0228	1082	384.093	415589	347	415589	134.589	seedling46	pNRT2.1:LUC	1mM->1mM->1mM	plate6	T0
2	20230724_AV_30_starvation_1mM_N7_luc.tif:0104-0269	842	309.99	261012	299	261012	104.018	seedling47	pNRT2.1:LUC	1mM->1mM->1mM	plate6	T0
3	20230724_AV_30_starvation_1mM_N7_luc.tif:0119-0368	964	432.671	417095	386	417095	119.425	seedling48	pNRT2.1:LUC	1mM->1mM->1mM	plate6	T0
1	20230724_AV_30_starvation_1mM_N6_luc.tif:0372-0354	1016	286.201	290780	286	290780	126.089	background	pNRT2.1:LUC	1mM->1mM->1mM	plate6	T0
