number	plate	area	mean	IntDen	median	RawIntDen	length	seedling	genotype	KNO3	PLATE	DAY
1	20230728_AV_30_starvation_T4_1mM_1mM_N5_luc.tif:0166-0059	1645	292.094	480494	283	480494	204.465	seedling33	pNRT2.1:LUC	1mM->1mM->1mM	plate5	T4
2	20230728_AV_30_starvation_T4_1mM_1mM_N5_luc.tif:0220-0112	2566	327.689	840851	305	840851	321.94	seedling34	pNRT2.1:LUC	1mM->1mM->1mM	plate5	T4
3	20230728_AV_30_starvation_T4_1mM_1mM_N5_luc.tif:0195-0160	2292	340.894	781328	313	781328	285.046	seedling35	pNRT2.1:LUC	1mM->1mM->1mM	plate5	T4
4	20230728_AV_30_starvation_T4_1mM_1mM_N5_luc.tif:0146-0211	1423	287.543	409174	284	409174	177.309	seedling36	pNRT2.1:LUC	1mM->1mM->1mM	plate5	T4
5	20230728_AV_30_starvation_T4_1mM_1mM_N5_luc.tif:0149-0261	1504	296.984	446664	289	446664	187.217	seedling37	pNRT2.1:LUC	1mM->1mM->1mM	plate5	T4
6	20230728_AV_30_starvation_T4_1mM_1mM_N5_luc.tif:0196-0325	2271	370.886	842281	344	842281	283.275	seedling38	pNRT2.1:LUC	1mM->1mM->1mM	plate5	T4
7	20230728_AV_30_starvation_T4_1mM_1mM_N5_luc.tif:0214-0379	2355	386.115	909300	352	909300	293.094	seedling39	pNRT2.1:LUC	1mM->1mM->1mM	plate5	T4
8	20230728_AV_30_starvation_T4_1mM_1mM_N5_luc.tif:0195-0436	2289	336.396	770010	308	770010	286.567	seedling40	pNRT2.1:LUC	1mM->1mM->1mM	plate5	T4
9	20230728_AV_30_starvation_T4_1mM_1mM_N5_luc.tif:0363-0414	1418	279.866	396850	280	396850	176.131	background	pNRT2.1:LUC	1mM->1mM->1mM	plate5	T4
10	20230728_AV_30_starvation_T4_1mM_1mM_N5_luc.tif:0393-0290	1890	279.364	527998	279	527998	235.073	background	pNRT2.1:LUC	1mM->1mM->1mM	plate5	T4
11	20230728_AV_30_starvation_T4_1mM_1mM_N5_luc.tif:0392-0207	1498	278.986	417921	279	417921	186.282	background	pNRT2.1:LUC	1mM->1mM->1mM	plate5	T4
1	20230728_AV_30_starvation_T4_1mM_1mM_N6_luc.tif:0208-0071	2251	341.29	768243	314	768243	280.729	seedling41	pNRT2.1:LUC	1mM->1mM->1mM	plate6	T4
2	20230728_AV_30_starvation_T4_1mM_1mM_N6_luc.tif:0189-0112	2066	338.922	700212	311	700212	257.576	seedling42	pNRT2.1:LUC	1mM->1mM->1mM	plate6	T4
