number	plate	area	mean	IntDen	median	RawIntDen	length	seedling	genotype	KNO3	PLATE	DAY
1	20230731_AV_30_starvation_T7_1mM_1mM_1mM_N5_luc.tif:0194-0068	2235	319.664	714450	303	714450	278.905	seedling33	pNRT2.1:LUC	1mM->1mM->1mM	plate5	T7
2	20230731_AV_30_starvation_T7_1mM_1mM_1mM_N5_luc.tif:0246-0109	3369	353.173	1189839	320	1189839	420.045	seedling34	pNRT2.1:LUC	1mM->1mM->1mM	plate5	T7
3	20230731_AV_30_starvation_T7_1mM_1mM_1mM_N5_luc.tif:0239-0160	3118	378.097	1178905	348	1178905	388.948	seedling35	pNRT2.1:LUC	1mM->1mM->1mM	plate5	T7
4	20230731_AV_30_starvation_T7_1mM_1mM_1mM_N5_luc.tif:0161-0226	1805	329.861	595400	309	595400	224.514	seedling36	pNRT2.1:LUC	1mM->1mM->1mM	plate5	T7
5	20230731_AV_30_starvation_T7_1mM_1mM_1mM_N5_luc.tif:0183-0277	2153	355.462	765309	325	765309	268.358	seedling37	pNRT2.1:LUC	1mM->1mM->1mM	plate5	T7
6	20230731_AV_30_starvation_T7_1mM_1mM_1mM_N5_luc.tif:0242-0324	2951	424.382	1252350	389	1252350	367.495	seedling38	pNRT2.1:LUC	1mM->1mM->1mM	plate5	T7
7	20230731_AV_30_starvation_T7_1mM_1mM_1mM_N5_luc.tif:0253-0372	3273	411.258	1346048	360	1346048	407.887	seedling39	pNRT2.1:LUC	1mM->1mM->1mM	plate5	T7
8	20230731_AV_30_starvation_T7_1mM_1mM_1mM_N5_luc.tif:0244-0418	3132	376.271	1178482	336	1178482	390.985	seedling40	pNRT2.1:LUC	1mM->1mM->1mM	plate5	T7
9	20230731_AV_30_starvation_T7_1mM_1mM_1mM_N5_luc.tif:0349-0218	2104	287.478	604853	287	604853	261.601	background	pNRT2.1:LUC	1mM->1mM->1mM	plate5	T7
10	20230731_AV_30_starvation_T7_1mM_1mM_1mM_N5_luc.tif:0354-0049	1984	284.62	564686	285	564686	247.122	background	pNRT2.1:LUC	1mM->1mM->1mM	plate5	T7
11	20230731_AV_30_starvation_T7_1mM_1mM_1mM_N5_luc.tif:0317-0452	2236	287.765	643442	288	643442	278.519	background	pNRT2.1:LUC	1mM->1mM->1mM	plate5	T7
1	20230731_AV_30_starvation_T7_1mM_1mM_1mM_N6_luc.tif:0247-0060	3069	356.685	1094667	311	1094667	382.628	seedling41	pNRT2.1:LUC	1mM->1mM->1mM	plate6	T7
2	20230731_AV_30_starvation_T7_1mM_1mM_1mM_N6_luc.tif:0242-0125	2640	367.298	969668	333	969668	328.926	seedling42	pNRT2.1:LUC	1mM->1mM->1mM	plate6	T7
3	20230731_AV_30_starvation_T7_1mM_1mM_1mM_N6_luc.tif:0239-0171	3104	388.156	1204837	332	1204837	386.846	seedling43	pNRT2.1:LUC	1mM->1mM->1mM	plate6	T7
4	20230731_AV_30_starvation_T7_1mM_1mM_1mM_N6_luc.tif:0159-0221	1850	338.011	625320	318	625320	229.828	seedling44	pNRT2.1:LUC	1mM->1mM->1mM	plate6	T7
5	20230731_AV_30_starvation_T7_1mM_1mM_1mM_N6_luc.tif:0202-0271	2466	358.457	883955	333	883955	306.974	seedling45	pNRT2.1:LUC	1mM->1mM->1mM	plate6	T7
6	20230731_AV_30_starvation_T7_1mM_1mM_1mM_N6_luc.tif:0226-0327	2951	358.238	1057161	328	1057161	367.952	seedling46	pNRT2.1:LUC	1mM->1mM->1mM	plate6	T7
7	20230731_AV_30_starvation_T7_1mM_1mM_1mM_N6_luc.tif:0165-0365	1883	340.555	641265	317	641265	234.366	seedling47	pNRT2.1:LUC	1mM->1mM->1mM	plate6	T7
8	20230731_AV_30_starvation_T7_1mM_1mM_1mM_N6_luc.tif:0240-0412	3115	364.184	1134432	324	1134432	388.058	seedling48	pNRT2.1:LUC	1mM->1mM->1mM	plate6	T7
9	20230731_AV_30_starvation_T7_1mM_1mM_1mM_N6_luc.tif:0355-0442	2023	286.117	578815	286	578815	251.887	background	pNRT2.1:LUC	1mM->1mM->1mM	plate6	T7
10	20230731_AV_30_starvation_T7_1mM_1mM_1mM_N6_luc.tif:0360-0308	2152	286.651	616874	287	616874	267.53	background	pNRT2.1:LUC	1mM->1mM->1mM	plate6	T7
11	20230731_AV_30_starvation_T7_1mM_1mM_1mM_N6_luc.tif:0339-0219	2285	287.065	655943	287	655943	284.869	background	pNRT2.1:LUC	1mM->1mM->1mM	plate6	T7
1	20230731_AV_30_starvation_T7_1mM_1mM_1mM_N7_luc.tif:0185-0074	2285	330.201	754509	306	754509	285.604	seedling49	pNRT2.1:LUC	1mM->1mM->1mM	plate7	T7
2	20230731_AV_30_starvation_T7_1mM_1mM_1mM_N7_luc.tif:0220-0110	2930	352.249	1032089	320	1032089	364.763	seedling50	pNRT2.1:LUC	1mM->1mM->1mM	plate7	T7
3	20230731_AV_30_starvation_T7_1mM_1mM_1mM_N7_luc.tif:0231-0173	3114	381.03	1186526	345	1186526	388.145	seedling51	pNRT2.1:LUC	1mM->1mM->1mM	plate7	T7
4	20230731_AV_30_starvation_T7_1mM_1mM_1mM_N7_luc.tif:0235-0217	3137	385.543	1209447	349	1209447	391.455	seedling52	pNRT2.1:LUC	1mM->1mM->1mM	plate7	T7
