number	plate_info	area	mean	IntDen	median	RawIntDen	length	seedling	genotype	KNO3	plate
1	pNRT2.1_LUC_1mM_N1_luc.tif:0138-0040	1320	332.042	438295	299	438295	163.833	seedling65	pNRT2.1:LUC	1mM	plate9
2	pNRT2.1_LUC_1mM_N1_luc.tif:0139-0091	1379	356.21	491213	312	491213	172.067	seedling66	pNRT2.1:LUC	1mM	plate9
3	pNRT2.1_LUC_1mM_N1_luc.tif:0145-0153	1539	355.961	547824	316	547824	191.261	seedling67	pNRT2.1:LUC	1mM	plate9
4	pNRT2.1_LUC_1mM_N1_luc.tif:0165-0224	1902	385.943	734064	343	734064	236.997	seedling68	pNRT2.1:LUC	1mM	plate9
5	pNRT2.1_LUC_1mM_N1_luc.tif:0154-0293	1801	408.549	735797	350	735797	223.691	seedling69	pNRT2.1:LUC	1mM	plate9
6	pNRT2.1_LUC_1mM_N1_luc.tif:0152-0348	1779	392.483	698227	344	698227	222.087	seedling70	pNRT2.1:LUC	1mM	plate9
9	pNRT2.1_LUC_1mM_N1_luc.tif:0358-0266	1439	279.776	402597	280	402597	178.537	background	pNRT2.1:LUC	1mM	plate9
10	pNRT2.1_LUC_1mM_N1_luc.tif:0365-0324	1663	279.772	465261	280	465261	211.142	background	pNRT2.1:LUC	1mM	plate9
11	pNRT2.1_LUC_1mM_N1_luc.tif:0365-0373	1725	279.869	482774	280	482774	214.396	background	pNRT2.1:LUC	1mM	plate9
1	pNRT2.1_LUC_1mM_N2_luc.tif:0167-0051	1732	369.657	640246	325	640246	216.981	seedling73	pNRT2.1:LUC	1mM	plate10
2	pNRT2.1_LUC_1mM_N2_luc.tif:0157-0121	1668	337.579	563081	304	563081	208.02	seedling74	pNRT2.1:LUC	1mM	plate10
3	pNRT2.1_LUC_1mM_N2_luc.tif:0147-0178	1670	379.42	633631	332	633631	207.694	seedling75	pNRT2.1:LUC	1mM	plate10
4	pNRT2.1_LUC_1mM_N2_luc.tif:0156-0239	1767	402.054	710429	342	710429	219.953	seedling76	pNRT2.1:LUC	1mM	plate10
5	pNRT2.1_LUC_1mM_N2_luc.tif:0156-0297	1728	424.859	734156	369	734156	215.159	seedling77	pNRT2.1:LUC	1mM	plate10
6	pNRT2.1_LUC_1mM_N2_luc.tif:0134-0349	1458	354.055	516212	319	516212	181.925	seedling78	pNRT2.1:LUC	1mM	plate10
7	pNRT2.1_LUC_1mM_N2_luc.tif:0144-0398	1790	396.088	708998	344	708998	223.581	seedling79	pNRT2.1:LUC	1mM	plate10
8	pNRT2.1_LUC_1mM_N2_luc.tif:0165-0440	1919	387.836	744258	338	744258	239.092	seedling80	pNRT2.1:LUC	1mM	plate10
9	pNRT2.1_LUC_1mM_N2_luc.tif:0247-0323	1603	279.177	447520	279	447520	199.15	background	pNRT2.1:LUC	1mM	plate10
10	pNRT2.1_LUC_1mM_N2_luc.tif:0251-0271	1842	279.896	515569	280	515569	228.563	background	pNRT2.1:LUC	1mM	plate10
11	pNRT2.1_LUC_1mM_N2_luc.tif:0395-0102	1791	278.221	498293	278	498293	223.244	background	pNRT2.1:LUC	1mM	plate10
1	pNRT2.1_LUC_1mM_N3_luc.tif:0149-0078	1785	358.117	639239	313	639239	222.669	seedling81	pNRT2.1:LUC	1mM	plate11
2	pNRT2.1_LUC_1mM_N3_luc.tif:0150-0119	1848	367.7	679510	324	679510	230.758	seedling82	pNRT2.1:LUC	1mM	plate11
3	pNRT2.1_LUC_1mM_N3_luc.tif:0140-0171	1583	378.354	598935	330	598935	196.65	seedling83	pNRT2.1:LUC	1mM	plate11
4	pNRT2.1_LUC_1mM_N3_luc.tif:0144-0230	1722	355.301	611828	321	611828	215.068	seedling84	pNRT2.1:LUC	1mM	plate11
5	pNRT2.1_LUC_1mM_N3_luc.tif:0129-0289	1402	321.265	450413	299	450413	174.336	seedling85	pNRT2.1:LUC	1mM	plate11
6	pNRT2.1_LUC_1mM_N3_luc.tif:0131-0338	1397	347.102	484902	314	484902	173.794	seedling86	pNRT2.1:LUC	1mM	plate11
7	pNRT2.1_LUC_1mM_N3_luc.tif:0156-0388	1827	382.371	698591	331	698591	228.522	seedling87	pNRT2.1:LUC	1mM	plate11
8	pNRT2.1_LUC_1mM_N3_luc.tif:0156-0455	1755	380.876	668438	323	668438	218.989	seedling88	pNRT2.1:LUC	1mM	plate11
9	pNRT2.1_LUC_1mM_N3_luc.tif:0285-0416	1784	279.85	499252	280	499252	222.203	background	pNRT2.1:LUC	1mM	plate11
10	pNRT2.1_LUC_1mM_N3_luc.tif:0280-0264	1715	279.709	479701	280	479701	213.97	background	pNRT2.1:LUC	1mM	plate11
11	pNRT2.1_LUC_1mM_N3_luc.tif:0281-0189	1740	279.793	486839	280	486839	216.166	background	pNRT2.1:LUC	1mM	plate11
1	pNRT2.1_LUC_1mM_N4_luc.tif:0148-0081	1605	392.06	629256	332	629256	200.577	seedling89	pNRT2.1:LUC	1mM	plate12
2	pNRT2.1_LUC_1mM_N4_luc.tif:0142-0149	1534	363.95	558299	321	558299	191.639	seedling90	pNRT2.1:LUC	1mM	plate12
3	pNRT2.1_LUC_1mM_N4_luc.tif:0162-0202	1839	378.053	695239	331	695239	229.062	seedling91	pNRT2.1:LUC	1mM	plate12
4	pNRT2.1_LUC_1mM_N4_luc.tif:0157-0238	1843	390.374	719460	340	719460	230.565	seedling92	pNRT2.1:LUC	1mM	plate12
5	pNRT2.1_LUC_1mM_N4_luc.tif:0147-0297	1665	365.613	608746	325	608746	207.76	seedling93	pNRT2.1:LUC	1mM	plate12
6	pNRT2.1_LUC_1mM_N4_luc.tif:0148-0350	1769	404.31	715224	345	715224	222.125	seedling94	pNRT2.1:LUC	1mM	plate12
7	pNRT2.1_LUC_1mM_N4_luc.tif:0129-0390	1365	359.275	490411	327	490411	169.429	seedling95	pNRT2.1:LUC	1mM	plate12
8	pNRT2.1_LUC_1mM_N4_luc.tif:0153-0430	1692	373.256	631549	328	631549	210.786	seedling96	pNRT2.1:LUC	1mM	plate12
9	pNRT2.1_LUC_1mM_N4_luc.tif:0302-0120	1431	279.064	399340	279	399340	177.931	background	pNRT2.1:LUC	1mM	plate12
10	pNRT2.1_LUC_1mM_N4_luc.tif:0296-0181	1436	279.731	401693	280	401693	178.282	background	pNRT2.1:LUC	1mM	plate12
11	pNRT2.1_LUC_1mM_N4_luc.tif:0295-0276	1514	280.137	424127	280	424127	188.437	background	pNRT2.1:LUC	1mM	plate12
1	pNRT2.1_LUC_10mM_N1_luc.tif:0143-0047	1632	300.254	490015	284	490015	204	seedling97	pNRT2.1:LUC	10mM	plate13
2	pNRT2.1_LUC_10mM_N1_luc.tif:0156-0097	1787	322.366	576068	293	576068	222.939	seedling98	pNRT2.1:LUC	10mM	plate13
4	pNRT2.1_LUC_10mM_N1_luc.tif:0143-0227	1702	325.239	553557	294	553557	212.603	seedling99	pNRT2.1:LUC	10mM	plate13
6	pNRT2.1_LUC_10mM_N1_luc.tif:0158-0344	1929	354.546	683919	305	683919	240.581	seedling100	pNRT2.1:LUC	10mM	plate13
7	pNRT2.1_LUC_10mM_N1_luc.tif:0156-0406	1770	337.747	597813	295	597813	220.355	seedling101	pNRT2.1:LUC	10mM	plate13
8	pNRT2.1_LUC_10mM_N1_luc.tif:0162-0455	1847	339.796	627603	294	627603	230.826	seedling102	pNRT2.1:LUC	10mM	plate13
9	pNRT2.1_LUC_10mM_N1_luc.tif:0276-0381	1601	279.262	447098	279	447098	199.317	background	pNRT2.1:LUC	10mM	plate13
10	pNRT2.1_LUC_10mM_N1_luc.tif:0275-0282	1633	279.364	456202	279	456202	203.143	background	pNRT2.1:LUC	10mM	plate13
11	pNRT2.1_LUC_10mM_N1_luc.tif:0285-0153	1629	278.852	454250	279	454250	202.868	background	pNRT2.1:LUC	10mM	plate13
1	pNRT2.1_LUC_10mM_N2_luc.tif:0123-0045	1309	317.701	415871	293	415871	163.051	seedling103	pNRT2.1:LUC	10mM	plate14
2	pNRT2.1_LUC_10mM_N2_luc.tif:0169-0157	1981	342.065	677631	296	677631	246.958	seedling104	pNRT2.1:LUC	10mM	plate14
3	pNRT2.1_LUC_10mM_N2_luc.tif:0168-0213	1995	346.832	691930	304	691930	248.06	seedling105	pNRT2.1:LUC	10mM	plate14
4	pNRT2.1_LUC_10mM_N2_luc.tif:0169-0291	2129	334.662	712496	300	712496	266.476	seedling106	pNRT2.1:LUC	10mM	plate14
5	pNRT2.1_LUC_10mM_N2_luc.tif:0140-0344	1684	336.885	567315	305	567315	210.083	seedling107	pNRT2.1:LUC	10mM	plate14
6	pNRT2.1_LUC_10mM_N2_luc.tif:0161-0383	1962	353.26	693097	306	693097	244.99	seedling108	pNRT2.1:LUC	10mM	plate14
7	pNRT2.1_LUC_10mM_N2_luc.tif:0153-0446	1784	325.093	579966	294	579966	222.084	seedling109	pNRT2.1:LUC	10mM	plate14
8	pNRT2.1_LUC_10mM_N2_luc.tif:0268-0420	1685	279.173	470407	279	470407	209.67	background	pNRT2.1:LUC	10mM	plate14
9	pNRT2.1_LUC_10mM_N2_luc.tif:0252-0260	1977	279.3	552177	279	552177	246.153	background	pNRT2.1:LUC	10mM	plate14
10	pNRT2.1_LUC_10mM_N2_luc.tif:0272-0125	1690	278.079	469954	278	469954	210.255	background	pNRT2.1:LUC	10mM	plate14
1	pNRT2.1_LUC_10mM_N3_luc.tif:0172-0013	1724	296.872	511807	280	511807	214.521	seedling110	pNRT2.1:LUC	10mM	plate15
2	pNRT2.1_LUC_10mM_N3_luc.tif:0176-0062	1787	320.913	573472	290	573472	222.616	seedling111	pNRT2.1:LUC	10mM	plate15
3	pNRT2.1_LUC_10mM_N3_luc.tif:0159-0128	1660	311.387	516903	286	516903	206.84	seedling112	pNRT2.1:LUC	10mM	plate15
4	pNRT2.1_LUC_10mM_N3_luc.tif:0172-0178	1963	323.435	634902	291	634902	244.586	seedling113	pNRT2.1:LUC	10mM	plate15
5	pNRT2.1_LUC_10mM_N3_luc.tif:0170-0248	1904	336.711	641097	297	641097	237.065	seedling114	pNRT2.1:LUC	10mM	plate15
6	pNRT2.1_LUC_10mM_N3_luc.tif:0197-0333	2087	363.942	759546	302	759546	259.463	seedling115	pNRT2.1:LUC	10mM	plate15
7	pNRT2.1_LUC_10mM_N3_luc.tif:0161-0386	1854	317.686	588990	294	588990	230.89	seedling116	pNRT2.1:LUC	10mM	plate15
8	pNRT2.1_LUC_10mM_N3_luc.tif:0160-0437	1688	362.459	611830	307	611830	210.142	seedling117	pNRT2.1:LUC	10mM	plate15
9	pNRT2.1_LUC_10mM_N3_luc.tif:0344-0297	1952	278.877	544368	279	544368	243.097	background	pNRT2.1:LUC	10mM	plate15
10	pNRT2.1_LUC_10mM_N3_luc.tif:0348-0226	2163	278.354	602079	278	602079	269.573	background	pNRT2.1:LUC	10mM	plate15
11	pNRT2.1_LUC_10mM_N3_luc.tif:0357-0116	1971	277.784	547512	278	547512	245.215	background	pNRT2.1:LUC	10mM	plate15
1	pNRT2.1_LUC_10mM_N4_luc.tif:0161-0045	1776	325.527	578136	292	578136	221.546	seedling118	pNRT2.1:LUC	10mM	plate16
2	pNRT2.1_LUC_10mM_N4_luc.tif:0163-0104	1838	338.783	622684	297	622684	228.637	seedling119	pNRT2.1:LUC	10mM	plate16
3	pNRT2.1_LUC_10mM_N4_luc.tif:0158-0149	1773	330.973	586815	297	586815	221.372	seedling120	pNRT2.1:LUC	10mM	plate16
4	pNRT2.1_LUC_10mM_N4_luc.tif:0148-0207	1711	309.323	529252	289	529252	212.849	seedling121	pNRT2.1:LUC	10mM	plate16
5	pNRT2.1_LUC_10mM_N4_luc.tif:0161-0264	1930	348.13	671891	296	671891	240.396	seedling122	pNRT2.1:LUC	10mM	plate16
6	pNRT2.1_LUC_10mM_N4_luc.tif:0152-0334	1737	311.212	540575	289	540575	216.145	seedling123	pNRT2.1:LUC	10mM	plate16
7	pNRT2.1_LUC_10mM_N4_luc.tif:0158-0393	1855	328.783	609893	297	609893	231.492	seedling124	pNRT2.1:LUC	10mM	plate16
8	pNRT2.1_LUC_10mM_N4_luc.tif:0164-0447	1928	337.137	650001	296	650001	241.002	seedling125	pNRT2.1:LUC	10mM	plate16
9	pNRT2.1_LUC_10mM_N4_luc.tif:0317-0422	1887	278.702	525910	279	525910	235.399	background	pNRT2.1:LUC	10mM	plate16
10	pNRT2.1_LUC_10mM_N4_luc.tif:0304-0364	2187	278.807	609751	279	609751	272.262	background	pNRT2.1:LUC	10mM	plate16
11	pNRT2.1_LUC_10mM_N4_luc.tif:0305-0304	1979	278.618	551385	279	551385	246.383	background	pNRT2.1:LUC	10mM	plate16
