number	plate	area	mean	IntDen	median	RawIntDen	length	seedling	genotype	KNO3	PLATE	DAY
1	20230729_AV_30_starvation_T5_1mM_0mM_1mM_N1_luc.tif:0171-0060	1838	300.151	551678	293	551678	228.837	seedling1	pNRT2.1:LUC	1mM->0mM->1mM	plate1	T5
2	20230729_AV_30_starvation_T5_1mM_0mM_1mM_N1_luc.tif:0190-0109	2292	321.498	736873	302	736873	285.87	seedling2	pNRT2.1:LUC	1mM->0mM->1mM	plate1	T5
3	20230729_AV_30_starvation_T5_1mM_0mM_1mM_N1_luc.tif:0173-0152	2262	318.88	721306	302	721306	282.511	seedling3	pNRT2.1:LUC	1mM->0mM->1mM	plate1	T5
4	20230729_AV_30_starvation_T5_1mM_0mM_1mM_N1_luc.tif:0181-0208	2308	318.942	736119	304	736119	287.477	seedling4	pNRT2.1:LUC	1mM->0mM->1mM	plate1	T5
5	20230729_AV_30_starvation_T5_1mM_0mM_1mM_N1_luc.tif:0196-0261	2656	349.841	929178	315	929178	332.062	seedling5	pNRT2.1:LUC	1mM->0mM->1mM	plate1	T5
6	20230729_AV_30_starvation_T5_1mM_0mM_1mM_N1_luc.tif:0178-0316	2392	328.303	785300	310	785300	297.148	seedling6	pNRT2.1:LUC	1mM->0mM->1mM	plate1	T5
7	20230729_AV_30_starvation_T5_1mM_0mM_1mM_N1_luc.tif:0176-0362	2236	322.853	721900	307	721900	278.758	seedling7	pNRT2.1:LUC	1mM->0mM->1mM	plate1	T5
8	20230729_AV_30_starvation_T5_1mM_0mM_1mM_N1_luc.tif:0178-0410	2230	331.646	739570	303	739570	277.877	seedling8	pNRT2.1:LUC	1mM->0mM->1mM	plate1	T5
9	20230729_AV_30_starvation_T5_1mM_0mM_1mM_N1_luc.tif:0396-0458	1560	285.228	444955	285	444955	194.254	background	pNRT2.1:LUC	1mM->0mM->1mM	plate1	T5
10	20230729_AV_30_starvation_T5_1mM_0mM_1mM_N1_luc.tif:0404-0314	1586	285.43	452692	285	452692	197.139	background	pNRT2.1:LUC	1mM->0mM->1mM	plate1	T5
11	20230729_AV_30_starvation_T5_1mM_0mM_1mM_N1_luc.tif:0412-0102	1558	284.981	444001	285	444001	195.714	background	pNRT2.1:LUC	1mM->0mM->1mM	plate1	T5
1	20230729_AV_30_starvation_T5_1mM_0mM_1mM_N2_luc.tif:0195-0063	2110	301.11	635342	291	635342	262.928	seedling9	pNRT2.1:LUC	1mM->0mM->1mM	plate2	T5
