number	plate	area	mean	IntDen	median	RawIntDen	length	seedling	genotype	KNO3	PLATE	DAY
1	20230728_AV_30_starvation_T4_1mM_0mM_N1_luc.tif:0168-0076	1692	285.25	482643	282	482643	209.993	seedling1	pNRT2.1:LUC	1mM->0mM->1mM	plate1	T4
2	20230728_AV_30_starvation_T4_1mM_0mM_N1_luc.tif:0189-0118	2070	287.876	595903	283	595903	257.324	seedling2	pNRT2.1:LUC	1mM->0mM->1mM	plate1	T4
3	20230728_AV_30_starvation_T4_1mM_0mM_N1_luc.tif:0184-0171	2066	285.667	590189	282	590189	257.714	seedling3	pNRT2.1:LUC	1mM->0mM->1mM	plate1	T4
4	20230728_AV_30_starvation_T4_1mM_0mM_N1_luc.tif:0186-0218	2063	285.297	588568	282	588568	256.909	seedling4	pNRT2.1:LUC	1mM->0mM->1mM	plate1	T4
5	20230728_AV_30_starvation_T4_1mM_0mM_N1_luc.tif:0206-0262	2379	288.396	686093	283	686093	296.711	seedling5	pNRT2.1:LUC	1mM->0mM->1mM	plate1	T4
6	20230728_AV_30_starvation_T4_1mM_0mM_N1_luc.tif:0194-0326	2166	287.039	621727	283	621727	269.964	seedling6	pNRT2.1:LUC	1mM->0mM->1mM	plate1	T4
7	20230728_AV_30_starvation_T4_1mM_0mM_N1_luc.tif:0188-0381	1978	285.799	565310	282	565310	245.888	seedling7	pNRT2.1:LUC	1mM->0mM->1mM	plate1	T4
8	20230728_AV_30_starvation_T4_1mM_0mM_N1_luc.tif:0183-0422	1921	288.236	553702	283	553702	239.064	seedling8	pNRT2.1:LUC	1mM->0mM->1mM	plate1	T4
9	20230728_AV_30_starvation_T4_1mM_0mM_N1_luc.tif:0397-0436	1401	278.148	389685	278	389685	173.566	background	pNRT2.1:LUC	1mM->0mM->1mM	plate1	T4
10	20230728_AV_30_starvation_T4_1mM_0mM_N1_luc.tif:0386-0358	1489	277.913	413812	278	413812	184.848	background	pNRT2.1:LUC	1mM->0mM->1mM	plate1	T4
11	20230728_AV_30_starvation_T4_1mM_0mM_N1_luc.tif:0385-0282	1435	277.87	398743	278	398743	178.151	background	pNRT2.1:LUC	1mM->0mM->1mM	plate1	T4
1	20230728_AV_30_starvation_T4_1mM_0mM_N2_luc.tif:0186-0058	1950	282.784	551428	280	551428	242.628	seedling9	pNRT2.1:LUC	1mM->0mM->1mM	plate2	T4
2	20230728_AV_30_starvation_T4_1mM_0mM_N2_luc.tif:0172-0097	1869	283.904	530616	280	530616	232.742	seedling10	pNRT2.1:LUC	1mM->0mM->1mM	plate2	T4
3	20230728_AV_30_starvation_T4_1mM_0mM_N2_luc.tif:0196-0147	2348	287.468	674974	282	674974	292.667	seedling11	pNRT2.1:LUC	1mM->0mM->1mM	plate2	T4
4	20230728_AV_30_starvation_T4_1mM_0mM_N2_luc.tif:0171-0207	1885	283.848	535054	281	535054	235.325	seedling12	pNRT2.1:LUC	1mM->0mM->1mM	plate2	T4
5	20230728_AV_30_starvation_T4_1mM_0mM_N2_luc.tif:0143-0251	1484	282.123	418670	280	418670	184.027	seedling13	pNRT2.1:LUC	1mM->0mM->1mM	plate2	T4
6	20230728_AV_30_starvation_T4_1mM_0mM_N2_luc.tif:0186-0304	2086	286.438	597510	282	597510	259.593	seedling14	pNRT2.1:LUC	1mM->0mM->1mM	plate2	T4
7	20230728_AV_30_starvation_T4_1mM_0mM_N2_luc.tif:0199-0363	2340	288.073	674091	283	674091	292.454	seedling15	pNRT2.1:LUC	1mM->0mM->1mM	plate2	T4
8	20230728_AV_30_starvation_T4_1mM_0mM_N2_luc.tif:0193-0425	2334	286.793	669375	282	669375	290.346	seedling16	pNRT2.1:LUC	1mM->0mM->1mM	plate2	T4
9	20230728_AV_30_starvation_T4_1mM_0mM_N2_luc.tif:0398-0441	1480	277.191	410243	277	410243	184.126	background	pNRT2.1:LUC	1mM->0mM->1mM	plate2	T4
10	20230728_AV_30_starvation_T4_1mM_0mM_N2_luc.tif:0364-0382	1815	277.017	502785	277	502785	225.887	background	pNRT2.1:LUC	1mM->0mM->1mM	plate2	T4
11	20230728_AV_30_starvation_T4_1mM_0mM_N2_luc.tif:0360-0320	1734	276.869	480090	277	480090	215.573	background	pNRT2.1:LUC	1mM->0mM->1mM	plate2	T4
1	20230728_AV_30_starvation_T4_1mM_0mM_N3_luc.tif:0179-0067	1910	284.615	543615	281	543615	237.414	seedling17	pNRT2.1:LUC	1mM->0mM->1mM	plate3	T4
2	20230728_AV_30_starvation_T4_1mM_0mM_N3_luc.tif:0201-0085	2326	288.423	670873	282	670873	290.507	seedling18	pNRT2.1:LUC	1mM->0mM->1mM	plate3	T4
3	20230728_AV_30_starvation_T4_1mM_0mM_N3_luc.tif:0159-0158	1824	284.23	518435	281	518435	228.137	seedling19	pNRT2.1:LUC	1mM->0mM->1mM	plate3	T4
4	20230728_AV_30_starvation_T4_1mM_0mM_N3_luc.tif:0195-0206	2302	286.671	659917	283	659917	287.15	seedling20	pNRT2.1:LUC	1mM->0mM->1mM	plate3	T4
5	20230728_AV_30_starvation_T4_1mM_0mM_N3_luc.tif:0183-0274	2045	286.565	586026	282	586026	255.29	seedling21	pNRT2.1:LUC	1mM->0mM->1mM	plate3	T4
6	20230728_AV_30_starvation_T4_1mM_0mM_N3_luc.tif:0188-0312	2120	287.149	608756	282	608756	263.964	seedling22	pNRT2.1:LUC	1mM->0mM->1mM	plate3	T4
7	20230728_AV_30_starvation_T4_1mM_0mM_N3_luc.tif:0164-0370	1827	285.909	522356	282	522356	227.21	seedling23	pNRT2.1:LUC	1mM->0mM->1mM	plate3	T4
8	20230728_AV_30_starvation_T4_1mM_0mM_N3_luc.tif:0162-0426	1830	285.16	521843	282	521843	227.638	seedling24	pNRT2.1:LUC	1mM->0mM->1mM	plate3	T4
9	20230728_AV_30_starvation_T4_1mM_0mM_N3_luc.tif:0379-0407	1584	277.751	439958	278	439958	197.41	background	pNRT2.1:LUC	1mM->0mM->1mM	plate3	T4
10	20230728_AV_30_starvation_T4_1mM_0mM_N3_luc.tif:0399-0262	1470	277.525	407962	278	407962	182.636	background	pNRT2.1:LUC	1mM->0mM->1mM	plate3	T4
11	20230728_AV_30_starvation_T4_1mM_0mM_N3_luc.tif:0372-0120	1725	277.5	478688	277	478688	215.15	background	pNRT2.1:LUC	1mM->0mM->1mM	plate3	T4
1	20230728_AV_30_starvation_T4_1mM_0mM_N4_luc.tif:0191-0067	1878	291.089	546665	285	546665	234.535	seedling25	pNRT2.1:LUC	1mM->0mM->1mM	plate4	T4
2	20230728_AV_30_starvation_T4_1mM_0mM_N4_luc.tif:0177-0119	1756	287.124	504190	283	504190	218.458	seedling26	pNRT2.1:LUC	1mM->0mM->1mM	plate4	T4
4	20230728_AV_30_starvation_T4_1mM_0mM_N4_luc.tif:0165-0205	1644	284.92	468408	282	468408	204.869	seedling28	pNRT2.1:LUC	1mM->0mM->1mM	plate4	T4
6	20230728_AV_30_starvation_T4_1mM_0mM_N4_luc.tif:0179-0323	1793	290.637	521112	285	521112	223.075	seedling30	pNRT2.1:LUC	1mM->0mM->1mM	plate4	T4
7	20230728_AV_30_starvation_T4_1mM_0mM_N4_luc.tif:0156-0377	1444	285.093	411675	282	411675	179.325	seedling31	pNRT2.1:LUC	1mM->0mM->1mM	plate4	T4
9	20230728_AV_30_starvation_T4_1mM_0mM_N4_luc.tif:0385-0431	1628	278.644	453632	279	453632	202.288	background	pNRT2.1:LUC	1mM->0mM->1mM	plate4	T4
10	20230728_AV_30_starvation_T4_1mM_0mM_N4_luc.tif:0386-0346	1481	278.555	412540	279	412540	184.338	background	pNRT2.1:LUC	1mM->0mM->1mM	plate4	T4
11	20230728_AV_30_starvation_T4_1mM_0mM_N4_luc.tif:0388-0269	1547	278.392	430673	278	430673	192.058	background	pNRT2.1:LUC	1mM->0mM->1mM	plate4	T4
1	20230728_AV_30_starvation_T4_1mM_1mM_N5_luc.tif:0166-0059	1645	292.094	480494	283	480494	204.465	seedling33	pNRT2.1:LUC	1mM->1mM->1mM	plate5	T4
2	20230728_AV_30_starvation_T4_1mM_1mM_N5_luc.tif:0220-0112	2566	327.689	840851	305	840851	321.94	seedling34	pNRT2.1:LUC	1mM->1mM->1mM	plate5	T4
3	20230728_AV_30_starvation_T4_1mM_1mM_N5_luc.tif:0195-0160	2292	340.894	781328	313	781328	285.046	seedling35	pNRT2.1:LUC	1mM->1mM->1mM	plate5	T4
4	20230728_AV_30_starvation_T4_1mM_1mM_N5_luc.tif:0146-0211	1423	287.543	409174	284	409174	177.309	seedling36	pNRT2.1:LUC	1mM->1mM->1mM	plate5	T4
5	20230728_AV_30_starvation_T4_1mM_1mM_N5_luc.tif:0149-0261	1504	296.984	446664	289	446664	187.217	seedling37	pNRT2.1:LUC	1mM->1mM->1mM	plate5	T4
6	20230728_AV_30_starvation_T4_1mM_1mM_N5_luc.tif:0196-0325	2271	370.886	842281	344	842281	283.275	seedling38	pNRT2.1:LUC	1mM->1mM->1mM	plate5	T4
7	20230728_AV_30_starvation_T4_1mM_1mM_N5_luc.tif:0214-0379	2355	386.115	909300	352	909300	293.094	seedling39	pNRT2.1:LUC	1mM->1mM->1mM	plate5	T4
8	20230728_AV_30_starvation_T4_1mM_1mM_N5_luc.tif:0195-0436	2289	336.396	770010	308	770010	286.567	seedling40	pNRT2.1:LUC	1mM->1mM->1mM	plate5	T4
9	20230728_AV_30_starvation_T4_1mM_1mM_N5_luc.tif:0363-0414	1418	279.866	396850	280	396850	176.131	background	pNRT2.1:LUC	1mM->1mM->1mM	plate5	T4
10	20230728_AV_30_starvation_T4_1mM_1mM_N5_luc.tif:0393-0290	1890	279.364	527998	279	527998	235.073	background	pNRT2.1:LUC	1mM->1mM->1mM	plate5	T4
11	20230728_AV_30_starvation_T4_1mM_1mM_N5_luc.tif:0392-0207	1498	278.986	417921	279	417921	186.282	background	pNRT2.1:LUC	1mM->1mM->1mM	plate5	T4
1	20230728_AV_30_starvation_T4_1mM_1mM_N6_luc.tif:0208-0071	2251	341.29	768243	314	768243	280.729	seedling41	pNRT2.1:LUC	1mM->1mM->1mM	plate6	T4
2	20230728_AV_30_starvation_T4_1mM_1mM_N6_luc.tif:0189-0112	2066	338.922	700212	311	700212	257.576	seedling42	pNRT2.1:LUC	1mM->1mM->1mM	plate6	T4
3	20230728_AV_30_starvation_T4_1mM_1mM_N6_luc.tif:0197-0190	2253	366.315	825307	329	825307	280.523	seedling43	pNRT2.1:LUC	1mM->1mM->1mM	plate6	T4
4	20230728_AV_30_starvation_T4_1mM_1mM_N6_luc.tif:0144-0212	1371	303.813	416527	293	416527	170.337	seedling44	pNRT2.1:LUC	1mM->1mM->1mM	plate6	T4
5	20230728_AV_30_starvation_T4_1mM_1mM_N6_luc.tif:0172-0260	1822	327.111	595997	307	595997	227.449	seedling45	pNRT2.1:LUC	1mM->1mM->1mM	plate6	T4
6	20230728_AV_30_starvation_T4_1mM_1mM_N6_luc.tif:0190-0320	2211	328.933	727271	306	727271	276.556	seedling46	pNRT2.1:LUC	1mM->1mM->1mM	plate6	T4
7	20230728_AV_30_starvation_T4_1mM_1mM_N6_luc.tif:0148-0375	1476	295.655	436387	288	436387	183.776	seedling47	pNRT2.1:LUC	1mM->1mM->1mM	plate6	T4
8	20230728_AV_30_starvation_T4_1mM_1mM_N6_luc.tif:0198-0415	2305	336.359	775308	309	775308	286.695	seedling48	pNRT2.1:LUC	1mM->1mM->1mM	plate6	T4
9	20230728_AV_30_starvation_T4_1mM_1mM_N6_luc.tif:0376-0444	1552	281.775	437315	282	437315	193.054	background	pNRT2.1:LUC	1mM->1mM->1mM	plate6	T4
10	20230728_AV_30_starvation_T4_1mM_1mM_N6_luc.tif:0392-0346	1516	281.752	427136	282	427136	188.565	background	pNRT2.1:LUC	1mM->1mM->1mM	plate6	T4
11	20230728_AV_30_starvation_T4_1mM_1mM_N6_luc.tif:0407-0244	1473	282.005	415394	282	415394	183.23	background	pNRT2.1:LUC	1mM->1mM->1mM	plate6	T4
1	20230728_AV_30_starvation_T4_1mM_1mM_N7_luc.tif:0172-0056	1608	320.713	515707	295	515707	199.876	seedling49	pNRT2.1:LUC	1mM->1mM->1mM	plate7	T4
2	20230728_AV_30_starvation_T4_1mM_1mM_N7_luc.tif:0201-0108	2032	355.373	722117	323	722117	253.116	seedling50	pNRT2.1:LUC	1mM->1mM->1mM	plate7	T4
3	20230728_AV_30_starvation_T4_1mM_1mM_N7_luc.tif:0208-0161	2340	330.768	773996	304	773996	292.013	seedling51	pNRT2.1:LUC	1mM->1mM->1mM	plate7	T4
4	20230728_AV_30_starvation_T4_1mM_1mM_N7_luc.tif:0194-0210	2323	334.541	777138	313	777138	289.584	seedling52	pNRT2.1:LUC	1mM->1mM->1mM	plate7	T4
5	20230728_AV_30_starvation_T4_1mM_1mM_N7_luc.tif:0176-0281	2037	324.828	661675	303	661675	254.036	seedling53	pNRT2.1:LUC	1mM->1mM->1mM	plate7	T4
6	20230728_AV_30_starvation_T4_1mM_1mM_N7_luc.tif:0162-0318	1707	307.566	525015	294	525015	212.743	seedling54	pNRT2.1:LUC	1mM->1mM->1mM	plate7	T4
7	20230728_AV_30_starvation_T4_1mM_1mM_N7_luc.tif:0167-0373	1899	328.026	622921	305	622921	236.755	seedling55	pNRT2.1:LUC	1mM->1mM->1mM	plate7	T4
8	20230728_AV_30_starvation_T4_1mM_1mM_N7_luc.tif:0180-0442	2133	341.402	728210	311	728210	269.412	seedling56	pNRT2.1:LUC	1mM->1mM->1mM	plate7	T4
9	20230728_AV_30_starvation_T4_1mM_1mM_N7_luc.tif:0369-0404	1625	279.058	453469	279	453469	202.02	background	pNRT2.1:LUC	1mM->1mM->1mM	plate7	T4
10	20230728_AV_30_starvation_T4_1mM_1mM_N7_luc.tif:0374-0348	1577	278.94	439889	279	439889	196.402	background	pNRT2.1:LUC	1mM->1mM->1mM	plate7	T4
11	20230728_AV_30_starvation_T4_1mM_1mM_N7_luc.tif:0382-0280	1778	279.062	496172	279	496172	221.231	background	pNRT2.1:LUC	1mM->1mM->1mM	plate7	T4
1	20230728_AV_30_starvation_T4_1mM_1mM_N8_luc.tif:0206-0054	2150	307.399	660907	291	660907	268.086	seedling57	pNRT2.1:LUC	1mM->1mM->1mM	plate8	T4
2	20230728_AV_30_starvation_T4_1mM_1mM_N8_luc.tif:0212-0116	2452	353.369	866462	320	866462	307.238	seedling58	pNRT2.1:LUC	1mM->1mM->1mM	plate8	T4
3	20230728_AV_30_starvation_T4_1mM_1mM_N8_luc.tif:0201-0163	2347	343.251	805610	315	805610	294.438	seedling59	pNRT2.1:LUC	1mM->1mM->1mM	plate8	T4
4	20230728_AV_30_starvation_T4_1mM_1mM_N8_luc.tif:0196-0209	2317	351.962	815496	319	815496	289.667	seedling60	pNRT2.1:LUC	1mM->1mM->1mM	plate8	T4
5	20230728_AV_30_starvation_T4_1mM_1mM_N8_luc.tif:0174-0271	1911	319.645	610842	301	610842	238.36	seedling61	pNRT2.1:LUC	1mM->1mM->1mM	plate8	T4
6	20230728_AV_30_starvation_T4_1mM_1mM_N8_luc.tif:0182-0317	2093	311.79	652576	294	652576	261.814	seedling62	pNRT2.1:LUC	1mM->1mM->1mM	plate8	T4
7	20230728_AV_30_starvation_T4_1mM_1mM_N8_luc.tif:0190-0369	2309	327.319	755780	303	755780	287.54	seedling63	pNRT2.1:LUC	1mM->1mM->1mM	plate8	T4
8	20230728_AV_30_starvation_T4_1mM_1mM_N8_luc.tif:0204-0421	2349	315.285	740605	293	740605	292.894	seedling64	pNRT2.1:LUC	1mM->1mM->1mM	plate8	T4
9	20230728_AV_30_starvation_T4_1mM_1mM_N8_luc.tif:0368-0455	1601	279.171	446952	279	446952	199.17	background	pNRT2.1:LUC	1mM->1mM->1mM	plate8	T4
10	20230728_AV_30_starvation_T4_1mM_1mM_N8_luc.tif:0393-0311	1428	279.007	398422	279	398422	178.332	background	pNRT2.1:LUC	1mM->1mM->1mM	plate8	T4
11	20230728_AV_30_starvation_T4_1mM_1mM_N8_luc.tif:0408-0083	1157	278.879	322663	279	322663	143.152	background	pNRT2.1:LUC	1mM->1mM->1mM	plate8	T4
1	20230728_AV_30_starvation_T4_1mM_0mM_N9_luc.tif:0210-0058	2271	287.124	652058	283	652058	282.998	seedling65	pNRT2.1:LUC	1mM->0mM->0mM	plate9	T4
2	20230728_AV_30_starvation_T4_1mM_0mM_N9_luc.tif:0200-0117	2105	284.865	599640	282	599640	262.207	seedling66	pNRT2.1:LUC	1mM->0mM->0mM	plate9	T4
3	20230728_AV_30_starvation_T4_1mM_0mM_N9_luc.tif:0192-0144	2288	285.58	653406	282	653406	285.563	seedling67	pNRT2.1:LUC	1mM->0mM->0mM	plate9	T4
4	20230728_AV_30_starvation_T4_1mM_0mM_N9_luc.tif:0198-0205	2324	289.747	673371	284	673371	289.949	seedling68	pNRT2.1:LUC	1mM->0mM->0mM	plate9	T4
5	20230728_AV_30_starvation_T4_1mM_0mM_N9_luc.tif:0186-0257	2216	285.37	632380	282	632380	276.642	seedling69	pNRT2.1:LUC	1mM->0mM->0mM	plate9	T4
6	20230728_AV_30_starvation_T4_1mM_0mM_N9_luc.tif:0189-0289	2437	287.834	701451	283	701451	305.599	seedling70	pNRT2.1:LUC	1mM->0mM->0mM	plate9	T4
7	20230728_AV_30_starvation_T4_1mM_0mM_N9_luc.tif:0156-0371	1746	284.383	496532	281	496532	217.371	seedling71	pNRT2.1:LUC	1mM->0mM->0mM	plate9	T4
8	20230728_AV_30_starvation_T4_1mM_0mM_N9_luc.tif:0210-0432	2491	289.127	720216	284	720216	310.343	seedling72	pNRT2.1:LUC	1mM->0mM->0mM	plate9	T4
9	20230728_AV_30_starvation_T4_1mM_0mM_N9_luc.tif:0390-0386	1553	278.548	432585	279	432585	193.17	background	pNRT2.1:LUC	1mM->0mM->0mM	plate9	T4
10	20230728_AV_30_starvation_T4_1mM_0mM_N9_luc.tif:0383-0311	1549	278.42	431273	278	431273	192.83	background	pNRT2.1:LUC	1mM->0mM->0mM	plate9	T4
11	20230728_AV_30_starvation_T4_1mM_0mM_N9_luc.tif:0398-0169	1457	278.491	405761	279	405761	180.686	background	pNRT2.1:LUC	1mM->0mM->0mM	plate9	T4
1	20230728_AV_30_starvation_T4_1mM_0mM_N10_luc.tif:0186-0074	1934	285.202	551580	282	551580	240.771	seedling73	pNRT2.1:LUC	1mM->0mM->0mM	plate10	T4
2	20230728_AV_30_starvation_T4_1mM_0mM_N10_luc.tif:0182-0101	1984	286.94	569288	283	569288	246.782	seedling74	pNRT2.1:LUC	1mM->0mM->0mM	plate10	T4
