number	plate_info	area	mean	IntDen	median	RawIntDen	length	seedling	genotype	KNO3	plate
1	20220615_pNRT21_1mM_N9_luc.tif:0179-0047	1677	352.586	591286	313	591286	208.788	seedling65	pNRT2.1:LUC	1mM	plate9
2	20220615_pNRT21_1mM_N9_luc.tif:0185-0096	1700	380.114	646193	331	646193	211.128	seedling66	pNRT2.1:LUC	1mM	plate9
3	20220615_pNRT21_1mM_N9_luc.tif:0173-0150	1638	356.584	584084	322	584084	204.62	seedling67	pNRT2.1:LUC	1mM	plate9
4	20220615_pNRT21_1mM_N9_luc.tif:0184-0217	1719	396.732	681983	350	681983	215.406	seedling68	pNRT2.1:LUC	1mM	plate9
5	20220615_pNRT21_1mM_N9_luc.tif:0174-0260	1711	388.966	665521	342	665521	213.849	seedling69	pNRT2.1:LUC	1mM	plate9
6	20220615_pNRT21_1mM_N9_luc.tif:0177-0316	1703	401.756	684191	346	684191	212.047	seedling70	pNRT2.1:LUC	1mM	plate9
7	20220615_pNRT21_1mM_N9_luc.tif:0176-0384	1645	333.199	548113	299	548113	204.984	seedling71	pNRT2.1:LUC	1mM	plate9
8	20220615_pNRT21_1mM_N9_luc.tif:0171-0429	1691	364.361	616135	313	616135	210.338	seedling72	pNRT2.1:LUC	1mM	plate9
9	20220615_pNRT21_1mM_N9_luc.tif:0421-0412	1167	277.442	323775	277	323775	144.933	background	pNRT2.1:LUC	1mM	plate9
10	20220615_pNRT21_1mM_N9_luc.tif:0417-0151	1329	277.302	368535	277	368535	165.413	background	pNRT2.1:LUC	1mM	plate9
11	20220615_pNRT21_1mM_N9_luc.tif:0414-0056	1439	276.657	398110	277	398110	179.045	background	pNRT2.1:LUC	1mM	plate9
1	20220615_pNRT21_1mM_N10_luc.tif:0164-0046	1484	337.519	500878	308	500878	184.713	seedling73	pNRT2.1:LUC	1mM	plate10
2	20220615_pNRT21_1mM_N10_luc.tif:0152-0095	1381	322.995	446056	304	446056	171.849	seedling74	pNRT2.1:LUC	1mM	plate10
