number	plate_info	area	mean	IntDen	median	RawIntDen	length	seedling	genotype	KNO3	plate	lateralRoots
5	20220411_NRT21LUC_1mM_8D_N5_luc.tif:0140-0077	1219	337.687	411640	319	411640	150.51	seedling33	pNRT2.1:LUC	1mM	plate1	3
5	20220411_NRT21LUC_1mM_8D_N5_luc.tif:0146-0128	1359	331.55	450577	308	450577	169.273	seedling34	pNRT2.1:LUC	1mM	plate1	3
5	20220411_NRT21LUC_1mM_8D_N5_luc.tif:0145-0178	1313	315.372	414084	301	414084	163.456	seedling35	pNRT2.1:LUC	1mM	plate1	1
5	20220411_NRT21LUC_1mM_8D_N5_luc.tif:0140-0247	1201	305.157	366494	295	366494	149.368	seedling36	pNRT2.1:LUC	1mM	plate1	1
5	20220411_NRT21LUC_1mM_8D_N5_luc.tif:0154-0295	1326	302.744	401438	291	401438	164.937	seedling37	pNRT2.1:LUC	1mM	plate1	1
5	20220411_NRT21LUC_1mM_8D_N5_luc.tif:0139-0358	1200	312.354	374825	296	374825	149.594	seedling38	pNRT2.1:LUC	1mM	plate1	1
5	20220411_NRT21LUC_1mM_8D_N5_luc.tif:0144-0406	1183	303.424	358951	293	358951	147.461	seedling39	pNRT2.1:LUC	1mM	plate1	2
5	20220411_NRT21LUC_1mM_8D_N5_luc.tif:0153-0446	1304	329.894	430182	303	430182	163.012	seedling40	pNRT2.1:LUC	1mM	plate1	3
5	20220411_NRT21LUC_1mM_8D_N5_luc.tif:0357-0112	1524	284.044	432883	284	432883	190.643	background	pNRT2.1:LUC	1mM	plate1	
5	20220411_NRT21LUC_1mM_8D_N5_luc.tif:0367-0205	1417	284.311	402869	284	402869	176.08	background	pNRT2.1:LUC	1mM	plate1	
5	20220411_NRT21LUC_1mM_8D_N5_luc.tif:0359-0317	1268	284.23	360404	284	360404	157.833	background	pNRT2.1:LUC	1mM	plate1	
6	20220411_NRT21LUC_1mM_8D_N6_luc.tif:0150-0063	1298	341.233	442921	322	442921	162.322	seedling41	pNRT2.1:LUC	1mM	plate2	3
6	20220411_NRT21LUC_1mM_8D_N6_luc.tif:0155-0112	1351	364.515	492460	341	492460	167.794	seedling42	pNRT2.1:LUC	1mM	plate2	2
6	20220411_NRT21LUC_1mM_8D_N6_luc.tif:0164-0162	1469	399.528	586907	368	586907	184.87	seedling43	pNRT2.1:LUC	1mM	plate2	4
6	20220411_NRT21LUC_1mM_8D_N6_luc.tif:0154-0234	1329	326.698	434181	309	434181	165.831	seedling44	pNRT2.1:LUC	1mM	plate2	1
6	20220411_NRT21LUC_1mM_8D_N6_luc.tif:0162-0294	1460	388.597	567351	350	567351	182.774	seedling45	pNRT2.1:LUC	1mM	plate2	4
6	20220411_NRT21LUC_1mM_8D_N6_luc.tif:0161-0353	1402	364.919	511616	341	511616	175.138	seedling46	pNRT2.1:LUC	1mM	plate2	2
6	20220411_NRT21LUC_1mM_8D_N6_luc.tif:0157-0410	1314	369.162	485079	333	485079	163.474	seedling47	pNRT2.1:LUC	1mM	plate2	2
6	20220411_NRT21LUC_1mM_8D_N6_luc.tif:0174-0458	1520	375.143	570217	336	570217	189.821	seedling48	pNRT2.1:LUC	1mM	plate2	6
6	20220411_NRT21LUC_1mM_8D_N6_luc.tif:0363-0106	1125	284.506	320069	284	320069	139.659	background	pNRT2.1:LUC	1mM	plate2	
6	20220411_NRT21LUC_1mM_8D_N6_luc.tif:0359-0256	1133	284.793	322671	285	322671	140.738	background	pNRT2.1:LUC	1mM	plate2	
6	20220411_NRT21LUC_1mM_8D_N6_luc.tif:0362-0364	1080	284.868	307657	285	307657	134.054	background	pNRT2.1:LUC	1mM	plate2	
7	20220411_NRT21LUC_1mM_8D_N7_luc.tif:0182-0073	1253	328.597	411732	303	411732	156.263	seedling49	pNRT2.1:LUC	1mM	plate3	2
7	20220411_NRT21LUC_1mM_8D_N7_luc.tif:0175-0122	1249	324.227	404959	302	404959	156.305	seedling50	pNRT2.1:LUC	1mM	plate3	2
7	20220411_NRT21LUC_1mM_8D_N7_luc.tif:0174-0184	1337	316.991	423817	297	423817	166.356	seedling51	pNRT2.1:LUC	1mM	plate3	2
7	20220411_NRT21LUC_1mM_8D_N7_luc.tif:0179-0242	1419	360.457	511489	328	511489	177.255	seedling52	pNRT2.1:LUC	1mM	plate3	3
7	20220411_NRT21LUC_1mM_8D_N7_luc.tif:0167-0305	1374	347.189	477038	316	477038	172.013	seedling53	pNRT2.1:LUC	1mM	plate3	4
7	20220411_NRT21LUC_1mM_8D_N7_luc.tif:0173-0362	1405	341.394	479658	314	479658	175.406	seedling54	pNRT2.1:LUC	1mM	plate3	3
7	20220411_NRT21LUC_1mM_8D_N7_luc.tif:0171-0411	1373	359.988	494263	323	494263	172.061	seedling55	pNRT2.1:LUC	1mM	plate3	1
7	20220411_NRT21LUC_1mM_8D_N7_luc.tif:0168-0476	1376	337.941	465007	309	465007	173.044	seedling56	pNRT2.1:LUC	1mM	plate3	4
7	20220411_NRT21LUC_1mM_8D_N7_luc.tif:0369-0106	1160	283.85	329266	284	329266	143.421	background	pNRT2.1:LUC	1mM	plate3	
7	20220411_NRT21LUC_1mM_8D_N7_luc.tif:0371-0169	1168	284.08	331805	284	331805	145.463	background	pNRT2.1:LUC	1mM	plate3	
7	20220411_NRT21LUC_1mM_8D_N7_luc.tif:0374-0388	1274	284.342	362252	284	362252	157.643	background	pNRT2.1:LUC	1mM	plate3	
8	20220411_NRT21LUC_1mM_8D_N8_luc.tif:0169-0064	1368	348.912	477312	331	477312	171.269	seedling57	pNRT2.1:LUC	1mM	plate4	2
8	20220411_NRT21LUC_1mM_8D_N8_luc.tif:0156-0116	1284	358.242	459983	330	459983	159.969	seedling58	pNRT2.1:LUC	1mM	plate4	3
8	20220411_NRT21LUC_1mM_8D_N8_luc.tif:0162-0175	1350	373.668	504452	356	504452	168.159	seedling59	pNRT2.1:LUC	1mM	plate4	3
8	20220411_NRT21LUC_1mM_8D_N8_luc.tif:0160-0231	1406	352.707	495906	335	495906	174.455	seedling60	pNRT2.1:LUC	1mM	plate4	4
8	20220411_NRT21LUC_1mM_8D_N8_luc.tif:0164-0280	1407	388.985	547302	358	547302	175.436	seedling61	pNRT2.1:LUC	1mM	plate4	3
8	20220411_NRT21LUC_1mM_8D_N8_luc.tif:0170-0342	1443	390.633	563684	369	563684	180.145	seedling62	pNRT2.1:LUC	1mM	plate4	3
8	20220411_NRT21LUC_1mM_8D_N8_luc.tif:0166-0406	1403	379.721	532749	351	532749	174.777	seedling63	pNRT2.1:LUC	1mM	plate4	2
8	20220411_NRT21LUC_1mM_8D_N8_luc.tif:0162-0451	1303	359.153	467977	317	467977	162.192	seedling64	pNRT2.1:LUC	1mM	plate4	2
8	20220411_NRT21LUC_1mM_8D_N8_luc.tif:0366-0121	1292	284.52	367600	284	367600	160.573	background	pNRT2.1:LUC	1mM	plate4	
8	20220411_NRT21LUC_1mM_8D_N8_luc.tif:0384-0270	1324	284.702	376945	285	376945	164.648	background	pNRT2.1:LUC	1mM	plate4	
8	20220411_NRT21LUC_1mM_8D_N8_luc.tif:0375-0419	1365	284.804	388757	285	388757	171.905	background	pNRT2.1:LUC	1mM	plate4	
13	20220411_NRT21LUC_10mM_8D_N13_luc.tif:0145-0048	1310	308.995	404783	295	404783	164.047	seedling97	pNRT2.1:LUC	10mM	plate1	1
13	20220411_NRT21LUC_10mM_8D_N13_luc.tif:0143-0107	1353	323.554	437769	300	437769	168.898	seedling98	pNRT2.1:LUC	10mM	plate1	3
13	20220411_NRT21LUC_10mM_8D_N13_luc.tif:0150-0165	1389	320.79	445577	297	445577	172.926	seedling99	pNRT2.1:LUC	10mM	plate1	3
13	20220411_NRT21LUC_10mM_8D_N13_luc.tif:0148-0218	1413	321.517	454303	299	454303	175.799	seedling100	pNRT2.1:LUC	10mM	plate1	3
13	20220411_NRT21LUC_10mM_8D_N13_luc.tif:0154-0274	1440	321.563	463051	297	463051	179.222	seedling101	pNRT2.1:LUC	10mM	plate1	1
13	20220411_NRT21LUC_10mM_8D_N13_luc.tif:0151-0336	1383	322.897	446567	301	446567	172.538	seedling102	pNRT2.1:LUC	10mM	plate1	4
13	20220411_NRT21LUC_10mM_8D_N13_luc.tif:0147-0399	1313	305.43	401029	292	401029	163.627	seedling103	pNRT2.1:LUC	10mM	plate1	3
13	20220411_NRT21LUC_10mM_8D_N13_luc.tif:0146-0447	1292	307.363	397113	292	397113	160.768	seedling104	pNRT2.1:LUC	10mM	plate1	3
13	20220411_NRT21LUC_10mM_8D_N13_luc.tif:0353-0102	1490	282.887	421502	283	421502	185.927	background	pNRT2.1:LUC	10mM	plate1	
13	20220411_NRT21LUC_10mM_8D_N13_luc.tif:0357-0195	1405	283.076	397722	283	397722	174.567	background	pNRT2.1:LUC	10mM	plate1	
13	20220411_NRT21LUC_10mM_8D_N13_luc.tif:0360-0374	1402	283.203	397050	283	397050	174.411	background	pNRT2.1:LUC	10mM	plate1	
14	20220411_NRT21LUC_10mM_8D_N14_luc.tif:0155-0080	1298	309.939	402301	295	402301	161.071	seedling105	pNRT2.1:LUC	10mM	plate2	1
