number	plate	area	mean	IntDen	median	RawIntDen	length	seedling	genotype	KNO3	PLATE	DAY
1	20240906_pNRT21_luc_1mM_N1_luc.tif:0110-0120	2480	1152.591	2858425	1062	2858425	1	seedling1	pNRT2.1:luc	1mM	plate1	10
2	20240906_pNRT21_luc_1mM_N1_luc.tif:0094-0184	1541	1094.15	1686085	1051	1686085	1	seedling2	pNRT2.1:luc	1mM	plate1	10
3	20240906_pNRT21_luc_1mM_N1_luc.tif:0103-0247	2319	1142.343	2649094	1060	2649094	1	seedling3	pNRT2.1:luc	1mM	plate1	10
4	20240906_pNRT21_luc_1mM_N1_luc.tif:0111-0295	2660	1127.952	3000352	1060	3000352	1	seedling4	pNRT2.1:luc	1mM	plate1	10
5	20240906_pNRT21_luc_1mM_N1_luc.tif:0089-0356	2270	1237.677	2809526	1079	2809526	1	seedling5	pNRT2.1:luc	1mM	plate1	10
6	20240906_pNRT21_luc_1mM_N1_luc.tif:0093-0411	1665	1077.868	1794651	1049	1794651	1	seedling6	pNRT2.1:luc	1mM	plate1	10
7	20240906_pNRT21_luc_1mM_N1_luc.tif:0105-0467	2039	1116.785	2277125	1057	2277125	1	seedling7	pNRT2.1:luc	1mM	plate1	10
8	20240906_pNRT21_luc_1mM_N1_luc.tif:0125-0530	2972	1176.287	3495925	1064	3495925	1	seedling8	pNRT2.1:luc	1mM	plate1	10
9	20240906_pNRT21_luc_1mM_N1_luc.tif:0109-0581	2047	1143.79	2341338	1056	2341338	1	seedling9	pNRT2.1:luc	1mM	plate1	10
10	20240906_pNRT21_luc_1mM_N1_luc.tif:0116-0646	2387	1153.335	2753010	1052	2753010	1	seedling10	pNRT2.1:luc	1mM	plate1	10
11	20240906_pNRT21_luc_1mM_N1_luc.tif:0110-0120	2480	1036.122	2569582	1036	2569582	1	background	pNRT2.1:luc	1mM	plate1	10
12	20240906_pNRT21_luc_1mM_N1_luc.tif:0093-0411	1665	1035.229	1723656	1035	1723656	1	background	pNRT2.1:luc	1mM	plate1	10
13	20240906_pNRT21_luc_1mM_N1_luc.tif:0109-0581	2047	1033.436	2115444	1033	2115444	1	background	pNRT2.1:luc	1mM	plate1	10
1	20240906_pNRT21_luc_1mM_N2_luc.tif:0149-0115	2987	1062.855	3174748	1041	3174748	1	seedling11	pNRT2.1:luc	1mM	plate2	10
2	20240906_pNRT21_luc_1mM_N2_luc.tif:0144-0175	2655	1056.454	2804886	1041	2804886	1	seedling12	pNRT2.1:luc	1mM	plate2	10
3	20240906_pNRT21_luc_1mM_N2_luc.tif:0187-0227	4709	1141.836	5376905	1058	5376905	1	seedling13	pNRT2.1:luc	1mM	plate2	10
4	20240906_pNRT21_luc_1mM_N2_luc.tif:0187-0285	4452	1147.093	5106858	1061	5106858	1	seedling14	pNRT2.1:luc	1mM	plate2	10
5	20240906_pNRT21_luc_1mM_N2_luc.tif:0154-0352	2811	1085.609	3051648	1049	3051648	1	seedling15	pNRT2.1:luc	1mM	plate2	10
6	20240906_pNRT21_luc_1mM_N2_luc.tif:0149-0405	2438	1066.807	2600875	1045	2600875	1	seedling16	pNRT2.1:luc	1mM	plate2	10
7	20240906_pNRT21_luc_1mM_N2_luc.tif:0175-0459	3284	1124.253	3692048	1059	3692048	1	seedling17	pNRT2.1:luc	1mM	plate2	10
8	20240906_pNRT21_luc_1mM_N2_luc.tif:0189-0514	4201	1185.413	4979920	1061	4979920	1	seedling18	pNRT2.1:luc	1mM	plate2	10
9	20240906_pNRT21_luc_1mM_N2_luc.tif:0184-0577	3898	1148.38	4476386	1060	4476386	1	seedling19	pNRT2.1:luc	1mM	plate2	10
10	20240906_pNRT21_luc_1mM_N2_luc.tif:0140-0642	2461	1044.601	2570762	1034	2570762	1	seedling20	pNRT2.1:luc	1mM	plate2	10
11	20240906_pNRT21_luc_1mM_N2_luc.tif:0259-0091	2287	1034.6	2366131	1035	2366131	1	background	pNRT2.1:luc	1mM	plate2	10
12	20240906_pNRT21_luc_1mM_N2_luc.tif:0353-0290	2575	1032.124	2657719	1032	2657719	1	background	pNRT2.1:luc	1mM	plate2	10
13	20240906_pNRT21_luc_1mM_N2_luc.tif:0318-0533	2502	1033.61	2586091	1034	2586091	1	background	pNRT2.1:luc	1mM	plate2	10
