number	plate	area	mean	IntDen	median	RawIntDen	length	seedling	genotype	KNO3	PLATE	DAY
1	20230730_AV_30_starvation_T6_1mM_1mM_1mM_N5_luc.tif:0179-0076	2005	316.146	633872	298	633872	250.177	seedling33	pNRT2.1:LUC	1mM->1mM->1mM	plate5	T6
2	20230730_AV_30_starvation_T6_1mM_1mM_1mM_N5_luc.tif:0230-0117	3043	355.501	1081790	319	1081790	379.942	seedling34	pNRT2.1:LUC	1mM->1mM->1mM	plate5	T6
3	20230730_AV_30_starvation_T6_1mM_1mM_1mM_N5_luc.tif:0226-0167	2886	377.371	1089092	340	1089092	359.245	seedling35	pNRT2.1:LUC	1mM->1mM->1mM	plate5	T6
4	20230730_AV_30_starvation_T6_1mM_1mM_1mM_N5_luc.tif:0154-0234	1644	318.293	523273	300	523273	205.125	seedling36	pNRT2.1:LUC	1mM->1mM->1mM	plate5	T6
5	20230730_AV_30_starvation_T6_1mM_1mM_1mM_N5_luc.tif:0175-0284	1929	340.188	656223	311	656223	240.197	seedling37	pNRT2.1:LUC	1mM->1mM->1mM	plate5	T6
6	20230730_AV_30_starvation_T6_1mM_1mM_1mM_N5_luc.tif:0232-0331	2787	415.576	1158210	370	1158210	347.613	seedling38	pNRT2.1:LUC	1mM->1mM->1mM	plate5	T6
7	20230730_AV_30_starvation_T6_1mM_1mM_1mM_N5_luc.tif:0243-0378	2937	416.474	1223185	363	1223185	366.008	seedling39	pNRT2.1:LUC	1mM->1mM->1mM	plate5	T6
8	20230730_AV_30_starvation_T6_1mM_1mM_1mM_N5_luc.tif:0231-0424	2780	385.226	1070928	338	1070928	347.106	seedling40	pNRT2.1:LUC	1mM->1mM->1mM	plate5	T6
9	20230730_AV_30_starvation_T6_1mM_1mM_1mM_N5_luc.tif:0343-0457	2067	286.055	591276	286	591276	257.457	background	pNRT2.1:LUC	1mM->1mM->1mM	plate5	T6
10	20230730_AV_30_starvation_T6_1mM_1mM_1mM_N5_luc.tif:0329-0256	2274	286.609	651748	287	651748	282.999	background	pNRT2.1:LUC	1mM->1mM->1mM	plate5	T6
11	20230730_AV_30_starvation_T6_1mM_1mM_1mM_N5_luc.tif:0339-0065	2236	283.796	634568	284	634568	278.663	background	pNRT2.1:LUC	1mM->1mM->1mM	plate5	T6
1	20230730_AV_30_starvation_T6_1mM_1mM_1mM_N6_luc.tif:0238-0055	2847	357.917	1018990	314	1018990	353.521	seedling41	pNRT2.1:LUC	1mM->1mM->1mM	plate6	T6
2	20230730_AV_30_starvation_T6_1mM_1mM_1mM_N6_luc.tif:0218-0115	2578	355.703	917002	321	917002	321.349	seedling42	pNRT2.1:LUC	1mM->1mM->1mM	plate6	T6
3	20230730_AV_30_starvation_T6_1mM_1mM_1mM_N6_luc.tif:0223-0167	2749	384.018	1055665	334	1055665	343.534	seedling43	pNRT2.1:LUC	1mM->1mM->1mM	plate6	T6
4	20230730_AV_30_starvation_T6_1mM_1mM_1mM_N6_luc.tif:0153-0219	1712	331.87	568161	312	568161	213.348	seedling44	pNRT2.1:LUC	1mM->1mM->1mM	plate6	T6
5	20230730_AV_30_starvation_T6_1mM_1mM_1mM_N6_luc.tif:0195-0266	2255	360.591	813133	327	813133	280.93	seedling45	pNRT2.1:LUC	1mM->1mM->1mM	plate6	T6
6	20230730_AV_30_starvation_T6_1mM_1mM_1mM_N6_luc.tif:0221-0323	2840	349.612	992899	322	992899	354.152	seedling46	pNRT2.1:LUC	1mM->1mM->1mM	plate6	T6
7	20230730_AV_30_starvation_T6_1mM_1mM_1mM_N6_luc.tif:0162-0361	1791	322.535	577661	304	577661	223.603	seedling47	pNRT2.1:LUC	1mM->1mM->1mM	plate6	T6
8	20230730_AV_30_starvation_T6_1mM_1mM_1mM_N6_luc.tif:0227-0409	2891	358.512	1036457	319	1036457	360.656	seedling48	pNRT2.1:LUC	1mM->1mM->1mM	plate6	T6
9	20230730_AV_30_starvation_T6_1mM_1mM_1mM_N6_luc.tif:0298-0441	2537	284.942	722899	285	722899	316.078	background	pNRT2.1:LUC	1mM->1mM->1mM	plate6	T6
