Primer	Name	Cp
ACT2	NRT2.1_luc_1mM_7	22.95
ACT2	NRT2.1_luc_1mM_7	22.98
ACT2	NRT2.1_luc_1mM_7	22.84
UBQ10	NRT2.1_luc_1mM_7	20.82
UBQ10	NRT2.1_luc_1mM_7	20.79
UBQ10	NRT2.1_luc_1mM_7	20.83
NRT2.1	NRT2.1_luc_1mM_7	22.61
NRT2.1	NRT2.1_luc_1mM_7	22.66
NRT2.1	NRT2.1_luc_1mM_7	22.6
LVG	NRT2.1_luc_1mM_7	24.59
LVG	NRT2.1_luc_1mM_7	24.69
LVG	NRT2.1_luc_1mM_7	24.6
HVG	NRT2.1_luc_1mM_7	22.98
HVG	NRT2.1_luc_1mM_7	22.79
HVG	NRT2.1_luc_1mM_7	22.89
LUC	NRT2.1_luc_1mM_7	26.69
LUC	NRT2.1_luc_1mM_7	26.62
LUC	NRT2.1_luc_1mM_7	26.61
ACT2	NRT2.1_luc_1mM_8	23.06
ACT2	NRT2.1_luc_1mM_8	23.19
ACT2	NRT2.1_luc_1mM_8	22.95
UBQ10	NRT2.1_luc_1mM_8	20.87
UBQ10	NRT2.1_luc_1mM_8	20.89
UBQ10	NRT2.1_luc_1mM_8	20.9
NRT2.1	NRT2.1_luc_1mM_8	22.19
NRT2.1	NRT2.1_luc_1mM_8	22.33
NRT2.1	NRT2.1_luc_1mM_8	22.22
LVG	NRT2.1_luc_1mM_8	24.61
LVG	NRT2.1_luc_1mM_8	24.63
LVG	NRT2.1_luc_1mM_8	24.54
HVG	NRT2.1_luc_1mM_8	22.93
HVG	NRT2.1_luc_1mM_8	22.91
HVG	NRT2.1_luc_1mM_8	22.9
LUC	NRT2.1_luc_1mM_8	26.59
LUC	NRT2.1_luc_1mM_8	26.33
LUC	NRT2.1_luc_1mM_8	26.42
ACT2	NRT2.1_luc_1mM_9	23.01
ACT2	NRT2.1_luc_1mM_9	23.01
ACT2	NRT2.1_luc_1mM_9	22.93
UBQ10	NRT2.1_luc_1mM_9	20.73
UBQ10	NRT2.1_luc_1mM_9	20.78
UBQ10	NRT2.1_luc_1mM_9	20.76
NRT2.1	NRT2.1_luc_1mM_9	22.14
NRT2.1	NRT2.1_luc_1mM_9	22.3
NRT2.1	NRT2.1_luc_1mM_9	22.16
LVG	NRT2.1_luc_1mM_9	24.57
LVG	NRT2.1_luc_1mM_9	24.61
LVG	NRT2.1_luc_1mM_9	24.63
HVG	NRT2.1_luc_1mM_9	22.93
HVG	NRT2.1_luc_1mM_9	23.05
HVG	NRT2.1_luc_1mM_9	22.81
LUC	NRT2.1_luc_1mM_9	26.69
LUC	NRT2.1_luc_1mM_9	26.25
LUC	NRT2.1_luc_1mM_9	26.47
ACT2	NRT2.1_luc_1mM_10	23.48
ACT2	NRT2.1_luc_1mM_10	23.54
ACT2	NRT2.1_luc_1mM_10	23.42
UBQ10	NRT2.1_luc_1mM_10	21.05
UBQ10	NRT2.1_luc_1mM_10	21.05
UBQ10	NRT2.1_luc_1mM_10	21.07
NRT2.1	NRT2.1_luc_1mM_10	22.68
NRT2.1	NRT2.1_luc_1mM_10	22.98
NRT2.1	NRT2.1_luc_1mM_10	22.59
LVG	NRT2.1_luc_1mM_10	24.69
LVG	NRT2.1_luc_1mM_10	24.66
LVG	NRT2.1_luc_1mM_10	24.7
HVG	NRT2.1_luc_1mM_10	23.89
HVG	NRT2.1_luc_1mM_10	23.75
HVG	NRT2.1_luc_1mM_10	23.76
LUC	NRT2.1_luc_1mM_10	26.99
LUC	NRT2.1_luc_1mM_10	26.87
LUC	NRT2.1_luc_1mM_10	27.12
ACT2	NRT2.1_luc_1mM_12	22.71
ACT2	NRT2.1_luc_1mM_12	22.71
ACT2	NRT2.1_luc_1mM_12	22.68
UBQ10	NRT2.1_luc_1mM_12	20.94
UBQ10	NRT2.1_luc_1mM_12	20.98
UBQ10	NRT2.1_luc_1mM_12	20.97
NRT2.1	NRT2.1_luc_1mM_12	22.12
NRT2.1	NRT2.1_luc_1mM_12	22.59
NRT2.1	NRT2.1_luc_1mM_12	22.12
LVG	NRT2.1_luc_1mM_12	24.49
LVG	NRT2.1_luc_1mM_12	24.42
LVG	NRT2.1_luc_1mM_12	24.51
HVG	NRT2.1_luc_1mM_12	22.75
HVG	NRT2.1_luc_1mM_12	22.69
HVG	NRT2.1_luc_1mM_12	22.94
LUC	NRT2.1_luc_1mM_12	26.61
LUC	NRT2.1_luc_1mM_12	26.68
LUC	NRT2.1_luc_1mM_12	26.58
ACT2	NRT2.1_luc_1mM_13	24
ACT2	NRT2.1_luc_1mM_13	23.97
ACT2	NRT2.1_luc_1mM_13	23.92
UBQ10	NRT2.1_luc_1mM_13	20.52
UBQ10	NRT2.1_luc_1mM_13	20.62
UBQ10	NRT2.1_luc_1mM_13	20.7
NRT2.1	NRT2.1_luc_1mM_13	22.66
NRT2.1	NRT2.1_luc_1mM_13	22.9
NRT2.1	NRT2.1_luc_1mM_13	22.76
LVG	NRT2.1_luc_1mM_13	24.66
LVG	NRT2.1_luc_1mM_13	24.8
LVG	NRT2.1_luc_1mM_13	24.76
HVG	NRT2.1_luc_1mM_13	24.7
HVG	NRT2.1_luc_1mM_13	24.47
HVG	NRT2.1_luc_1mM_13	24.54
LUC	NRT2.1_luc_1mM_13	27.08
LUC	NRT2.1_luc_1mM_13	26.89
LUC	NRT2.1_luc_1mM_13	27.19
ACT2	NRT2.1_luc_1mM_15	22.53
ACT2	NRT2.1_luc_1mM_15	22.57
ACT2	NRT2.1_luc_1mM_15	22.62
UBQ10	NRT2.1_luc_1mM_15	20.7
UBQ10	NRT2.1_luc_1mM_15	20.73
UBQ10	NRT2.1_luc_1mM_15	20.7
NRT2.1	NRT2.1_luc_1mM_15	21.91
NRT2.1	NRT2.1_luc_1mM_15	22.16
NRT2.1	NRT2.1_luc_1mM_15	22.05
LVG	NRT2.1_luc_1mM_15	24.19
LVG	NRT2.1_luc_1mM_15	24.24
LVG	NRT2.1_luc_1mM_15	24.24
HVG	NRT2.1_luc_1mM_15	22.23
HVG	NRT2.1_luc_1mM_15	21.98
HVG	NRT2.1_luc_1mM_15	22.15
LUC	NRT2.1_luc_1mM_15	26.12
LUC	NRT2.1_luc_1mM_15	25.93
LUC	NRT2.1_luc_1mM_15	26.02
ACT2	NRT2.1_luc_1mM_16	23.05
ACT2	NRT2.1_luc_1mM_16	23.12
ACT2	NRT2.1_luc_1mM_16	23.04
UBQ10	NRT2.1_luc_1mM_16	20.76
UBQ10	NRT2.1_luc_1mM_16	20.81
UBQ10	NRT2.1_luc_1mM_16	20.86
NRT2.1	NRT2.1_luc_1mM_16	22.32
NRT2.1	NRT2.1_luc_1mM_16	22.44
NRT2.1	NRT2.1_luc_1mM_16	22.42
LVG	NRT2.1_luc_1mM_16	24.57
LVG	NRT2.1_luc_1mM_16	24.63
LVG	NRT2.1_luc_1mM_16	24.59
HVG	NRT2.1_luc_1mM_16	22.92
HVG	NRT2.1_luc_1mM_16	22.86
HVG	NRT2.1_luc_1mM_16	22.82
LUC	NRT2.1_luc_1mM_16	26.25
LUC	NRT2.1_luc_1mM_16	26.78
LUC	NRT2.1_luc_1mM_16	26.3
