Primer	Name	Cp
UBQ10	pNRT2.1:luc_1mM_1	20.44
UBQ10	pNRT2.1:luc_1mM_1	20.34
UBQ10	pNRT2.1:luc_1mM_1	20.45
ACT2	pNRT2.1:luc_1mM_1	28.28
ACT2	pNRT2.1:luc_1mM_1	28.3
ACT2	pNRT2.1:luc_1mM_1	28.78
LVG	pNRT2.1:luc_1mM_1	27.16
LVG	pNRT2.1:luc_1mM_1	27.16
LVG	pNRT2.1:luc_1mM_1	27.25
HVG	pNRT2.1:luc_1mM_1	27.8
HVG	pNRT2.1:luc_1mM_1	27.94
HVG	pNRT2.1:luc_1mM_1	27.69
NRT2.1	pNRT2.1:luc_1mM_1	24.31
NRT2.1	pNRT2.1:luc_1mM_1	24.32
NRT2.1	pNRT2.1:luc_1mM_1	24.43
NRT1.1	pNRT2.1:luc_1mM_1	28.52
NRT1.1	pNRT2.1:luc_1mM_1	28.1
NRT1.1	pNRT2.1:luc_1mM_1	28.34
LUC	pNRT2.1:luc_1mM_1	29.81
LUC	pNRT2.1:luc_1mM_1	30.81
LUC	pNRT2.1:luc_1mM_1	30.3
PP2C	pNRT2.1:luc_1mM_1	30.07
PP2C	pNRT2.1:luc_1mM_1	29.95
PP2C	pNRT2.1:luc_1mM_1	29.72
UBQ10	pNRT2.1:luc_1mM_9	18.72
UBQ10	pNRT2.1:luc_1mM_9	18.72
UBQ10	pNRT2.1:luc_1mM_9	18.73
ACT2	pNRT2.1:luc_1mM_9	25.65
ACT2	pNRT2.1:luc_1mM_9	25.75
ACT2	pNRT2.1:luc_1mM_9	25.66
LVG	pNRT2.1:luc_1mM_9	24.75
LVG	pNRT2.1:luc_1mM_9	24.54
LVG	pNRT2.1:luc_1mM_9	24.55
HVG	pNRT2.1:luc_1mM_9	25.11
HVG	pNRT2.1:luc_1mM_9	25.23
HVG	pNRT2.1:luc_1mM_9	25.34
NRT2.1	pNRT2.1:luc_1mM_9	21.72
NRT2.1	pNRT2.1:luc_1mM_9	21.77
NRT2.1	pNRT2.1:luc_1mM_9	21.74
NRT1.1	pNRT2.1:luc_1mM_9	24.87
NRT1.1	pNRT2.1:luc_1mM_9	24.79
NRT1.1	pNRT2.1:luc_1mM_9	24.89
LUC	pNRT2.1:luc_1mM_9	28.67
LUC	pNRT2.1:luc_1mM_9	28.71
LUC	pNRT2.1:luc_1mM_9	28.46
PP2C	pNRT2.1:luc_1mM_9	26.85
PP2C	pNRT2.1:luc_1mM_9	26.9
PP2C	pNRT2.1:luc_1mM_9	26.83
UBQ10	pNRT2.1:luc_1mM_2	18.57
UBQ10	pNRT2.1:luc_1mM_2	18.6
UBQ10	pNRT2.1:luc_1mM_2	18.64
ACT2	pNRT2.1:luc_1mM_2	24.62
ACT2	pNRT2.1:luc_1mM_2	24.64
ACT2	pNRT2.1:luc_1mM_2	24.6
LVG	pNRT2.1:luc_1mM_2	24.09
LVG	pNRT2.1:luc_1mM_2	24.11
LVG	pNRT2.1:luc_1mM_2	24.11
HVG	pNRT2.1:luc_1mM_2	24.5
HVG	pNRT2.1:luc_1mM_2	24.48
HVG	pNRT2.1:luc_1mM_2	24.49
NRT2.1	pNRT2.1:luc_1mM_2	21.93
NRT2.1	pNRT2.1:luc_1mM_2	21.96
NRT2.1	pNRT2.1:luc_1mM_2	21.97
NRT1.1	pNRT2.1:luc_1mM_2	25.09
NRT1.1	pNRT2.1:luc_1mM_2	25.14
NRT1.1	pNRT2.1:luc_1mM_2	25.12
LUC	pNRT2.1:luc_1mM_2	28.53
LUC	pNRT2.1:luc_1mM_2	28.46
LUC	pNRT2.1:luc_1mM_2	28.58
PP2C	pNRT2.1:luc_1mM_2	27.47
PP2C	pNRT2.1:luc_1mM_2	27.61
PP2C	pNRT2.1:luc_1mM_2	27.27
UBQ10	pNRT2.1:luc_1mM_10	18.48
UBQ10	pNRT2.1:luc_1mM_10	18.49
UBQ10	pNRT2.1:luc_1mM_10	18.51
ACT2	pNRT2.1:luc_1mM_10	25.06
ACT2	pNRT2.1:luc_1mM_10	25.03
ACT2	pNRT2.1:luc_1mM_10	25.07
LVG	pNRT2.1:luc_1mM_10	24.08
LVG	pNRT2.1:luc_1mM_10	24.05
LVG	pNRT2.1:luc_1mM_10	24.18
HVG	pNRT2.1:luc_1mM_10	24.22
HVG	pNRT2.1:luc_1mM_10	24.19
HVG	pNRT2.1:luc_1mM_10	24.25
NRT2.1	pNRT2.1:luc_1mM_10	21.03
NRT2.1	pNRT2.1:luc_1mM_10	21.05
NRT2.1	pNRT2.1:luc_1mM_10	21.03
NRT1.1	pNRT2.1:luc_1mM_10	24.27
NRT1.1	pNRT2.1:luc_1mM_10	24.24
NRT1.1	pNRT2.1:luc_1mM_10	24.17
LUC	pNRT2.1:luc_1mM_10	27.97
LUC	pNRT2.1:luc_1mM_10	28
LUC	pNRT2.1:luc_1mM_10	28.06
PP2C	pNRT2.1:luc_1mM_10	26.33
PP2C	pNRT2.1:luc_1mM_10	26.27
PP2C	pNRT2.1:luc_1mM_10	26.47
UBQ10	pNRT2.1:luc_1mM_3	18.66
UBQ10	pNRT2.1:luc_1mM_3	18.66
UBQ10	pNRT2.1:luc_1mM_3	18.7
ACT2	pNRT2.1:luc_1mM_3	24.94
ACT2	pNRT2.1:luc_1mM_3	24.72
ACT2	pNRT2.1:luc_1mM_3	24.78
LVG	pNRT2.1:luc_1mM_3	24.01
LVG	pNRT2.1:luc_1mM_3	23.96
LVG	pNRT2.1:luc_1mM_3	24.04
HVG	pNRT2.1:luc_1mM_3	24.5
HVG	pNRT2.1:luc_1mM_3	24.46
HVG	pNRT2.1:luc_1mM_3	24.49
NRT2.1	pNRT2.1:luc_1mM_3	21.16
NRT2.1	pNRT2.1:luc_1mM_3	21.23
NRT2.1	pNRT2.1:luc_1mM_3	21.22
NRT1.1	pNRT2.1:luc_1mM_3	24.52
NRT1.1	pNRT2.1:luc_1mM_3	24.44
NRT1.1	pNRT2.1:luc_1mM_3	24.6
LUC	pNRT2.1:luc_1mM_3	27.95
LUC	pNRT2.1:luc_1mM_3	27.99
LUC	pNRT2.1:luc_1mM_3	27.84
PP2C	pNRT2.1:luc_1mM_3	26.25
PP2C	pNRT2.1:luc_1mM_3	26.49
PP2C	pNRT2.1:luc_1mM_3	26.32
UBQ10	pNRT2.1:luc_1mM_11	19.25
UBQ10	pNRT2.1:luc_1mM_11	19.21
UBQ10	pNRT2.1:luc_1mM_11	19.33
ACT2	pNRT2.1:luc_1mM_11	25.59
ACT2	pNRT2.1:luc_1mM_11	25.51
ACT2	pNRT2.1:luc_1mM_11	25.58
LVG	pNRT2.1:luc_1mM_11	24.88
LVG	pNRT2.1:luc_1mM_11	24.64
LVG	pNRT2.1:luc_1mM_11	24.69
HVG	pNRT2.1:luc_1mM_11	24.8
HVG	pNRT2.1:luc_1mM_11	24.71
HVG	pNRT2.1:luc_1mM_11	24.83
NRT2.1	pNRT2.1:luc_1mM_11	21.71
NRT2.1	pNRT2.1:luc_1mM_11	21.79
NRT2.1	pNRT2.1:luc_1mM_11	21.73
NRT1.1	pNRT2.1:luc_1mM_11	25.36
NRT1.1	pNRT2.1:luc_1mM_11	25.18
NRT1.1	pNRT2.1:luc_1mM_11	25.19
LUC	pNRT2.1:luc_1mM_11	28.29
LUC	pNRT2.1:luc_1mM_11	28.66
LUC	pNRT2.1:luc_1mM_11	28.5
PP2C	pNRT2.1:luc_1mM_11	27.03
PP2C	pNRT2.1:luc_1mM_11	27.09
PP2C	pNRT2.1:luc_1mM_11	26.99
UBQ10	pNRT2.1:luc_1mM_4	18.98
UBQ10	pNRT2.1:luc_1mM_4	18.97
UBQ10	pNRT2.1:luc_1mM_4	18.99
ACT2	pNRT2.1:luc_1mM_4	26.02
ACT2	pNRT2.1:luc_1mM_4	25.98
ACT2	pNRT2.1:luc_1mM_4	25.92
LVG	pNRT2.1:luc_1mM_4	24.86
LVG	pNRT2.1:luc_1mM_4	24.81
LVG	pNRT2.1:luc_1mM_4	24.91
HVG	pNRT2.1:luc_1mM_4	25.53
HVG	pNRT2.1:luc_1mM_4	25.53
HVG	pNRT2.1:luc_1mM_4	25.57
NRT2.1	pNRT2.1:luc_1mM_4	22.15
NRT2.1	pNRT2.1:luc_1mM_4	22.27
NRT2.1	pNRT2.1:luc_1mM_4	22.24
NRT1.1	pNRT2.1:luc_1mM_4	25.42
NRT1.1	pNRT2.1:luc_1mM_4	25.5
NRT1.1	pNRT2.1:luc_1mM_4	25.45
LUC	pNRT2.1:luc_1mM_4	29.32
LUC	pNRT2.1:luc_1mM_4	28.76
LUC	pNRT2.1:luc_1mM_4	28.85
PP2C	pNRT2.1:luc_1mM_4	27.67
PP2C	pNRT2.1:luc_1mM_4	27.49
PP2C	pNRT2.1:luc_1mM_4	27.48
UBQ10	pNRT2.1:luc_1mM_12	18.86
UBQ10	pNRT2.1:luc_1mM_12	18.87
UBQ10	pNRT2.1:luc_1mM_12	18.9
ACT2	pNRT2.1:luc_1mM_12	26.59
ACT2	pNRT2.1:luc_1mM_12	26.62
ACT2	pNRT2.1:luc_1mM_12	26.65
LVG	pNRT2.1:luc_1mM_12	24.95
LVG	pNRT2.1:luc_1mM_12	24.98
LVG	pNRT2.1:luc_1mM_12	24.98
HVG	pNRT2.1:luc_1mM_12	25.84
HVG	pNRT2.1:luc_1mM_12	25.7
HVG	pNRT2.1:luc_1mM_12	25.83
NRT2.1	pNRT2.1:luc_1mM_12	21.75
NRT2.1	pNRT2.1:luc_1mM_12	21.87
NRT2.1	pNRT2.1:luc_1mM_12	21.82
NRT1.1	pNRT2.1:luc_1mM_12	25.52
NRT1.1	pNRT2.1:luc_1mM_12	25.35
NRT1.1	pNRT2.1:luc_1mM_12	25.34
LUC	pNRT2.1:luc_1mM_12	28.88
LUC	pNRT2.1:luc_1mM_12	29.19
LUC	pNRT2.1:luc_1mM_12	28.7
PP2C	pNRT2.1:luc_1mM_12	27.07
PP2C	pNRT2.1:luc_1mM_12	27.06
PP2C	pNRT2.1:luc_1mM_12	27
UBQ10	pNRT2.1:luc_1mM_5	18.94
UBQ10	pNRT2.1:luc_1mM_5	18.94
UBQ10	pNRT2.1:luc_1mM_5	19.01
ACT2	pNRT2.1:luc_1mM_5	28.24
ACT2	pNRT2.1:luc_1mM_5	28.11
ACT2	pNRT2.1:luc_1mM_5	28.03
LVG	pNRT2.1:luc_1mM_5	25.94
LVG	pNRT2.1:luc_1mM_5	25.99
LVG	pNRT2.1:luc_1mM_5	25.94
HVG	pNRT2.1:luc_1mM_5	27.6
HVG	pNRT2.1:luc_1mM_5	27.6
HVG	pNRT2.1:luc_1mM_5	27.56
NRT2.1	pNRT2.1:luc_1mM_5	23.29
NRT2.1	pNRT2.1:luc_1mM_5	23.34
NRT2.1	pNRT2.1:luc_1mM_5	23.33
NRT1.1	pNRT2.1:luc_1mM_5	27.04
NRT1.1	pNRT2.1:luc_1mM_5	26.85
NRT1.1	pNRT2.1:luc_1mM_5	26.9
LUC	pNRT2.1:luc_1mM_5	30.14
LUC	pNRT2.1:luc_1mM_5	30.65
LUC	pNRT2.1:luc_1mM_5	30.33
PP2C	pNRT2.1:luc_1mM_5	28.59
PP2C	pNRT2.1:luc_1mM_5	28.58
PP2C	pNRT2.1:luc_1mM_5	28.67
UBQ10	pNRT2.1:luc_1mM_13	19.96
UBQ10	pNRT2.1:luc_1mM_13	19.98
UBQ10	pNRT2.1:luc_1mM_13	20.05
ACT2	pNRT2.1:luc_1mM_13	27.82
ACT2	pNRT2.1:luc_1mM_13	27.79
ACT2	pNRT2.1:luc_1mM_13	27.92
LVG	pNRT2.1:luc_1mM_13	26.81
LVG	pNRT2.1:luc_1mM_13	26.59
LVG	pNRT2.1:luc_1mM_13	26.87
HVG	pNRT2.1:luc_1mM_13	26.9
HVG	pNRT2.1:luc_1mM_13	27.01
HVG	pNRT2.1:luc_1mM_13	27.01
NRT2.1	pNRT2.1:luc_1mM_13	23.92
NRT2.1	pNRT2.1:luc_1mM_13	23.88
NRT2.1	pNRT2.1:luc_1mM_13	23.91
NRT1.1	pNRT2.1:luc_1mM_13	27.24
NRT1.1	pNRT2.1:luc_1mM_13	27.3
NRT1.1	pNRT2.1:luc_1mM_13	26.97
LUC	pNRT2.1:luc_1mM_13	30.47
LUC	pNRT2.1:luc_1mM_13	30.46
LUC	pNRT2.1:luc_1mM_13	30.29
PP2C	pNRT2.1:luc_1mM_13	29.37
PP2C	pNRT2.1:luc_1mM_13	28.94
PP2C	pNRT2.1:luc_1mM_13	29.32
UBQ10	pNRT2.1:luc_1mM_6	18.7
UBQ10	pNRT2.1:luc_1mM_6	18.72
UBQ10	pNRT2.1:luc_1mM_6	18.71
ACT2	pNRT2.1:luc_1mM_6	26.81
ACT2	pNRT2.1:luc_1mM_6	26.61
ACT2	pNRT2.1:luc_1mM_6	26.56
LVG	pNRT2.1:luc_1mM_6	25.63
LVG	pNRT2.1:luc_1mM_6	25.49
LVG	pNRT2.1:luc_1mM_6	25.55
HVG	pNRT2.1:luc_1mM_6	25.91
HVG	pNRT2.1:luc_1mM_6	25.88
HVG	pNRT2.1:luc_1mM_6	25.93
NRT2.1	pNRT2.1:luc_1mM_6	22.91
NRT2.1	pNRT2.1:luc_1mM_6	22.94
NRT2.1	pNRT2.1:luc_1mM_6	22.89
NRT1.1	pNRT2.1:luc_1mM_6	26.22
NRT1.1	pNRT2.1:luc_1mM_6	26.29
NRT1.1	pNRT2.1:luc_1mM_6	26.1
LUC	pNRT2.1:luc_1mM_6	29.43
LUC	pNRT2.1:luc_1mM_6	30.03
LUC	pNRT2.1:luc_1mM_6	29.8
PP2C	pNRT2.1:luc_1mM_6	27.55
PP2C	pNRT2.1:luc_1mM_6	27.7
PP2C	pNRT2.1:luc_1mM_6	27.67
UBQ10	pNRT2.1:luc_1mM_14	19.32
UBQ10	pNRT2.1:luc_1mM_14	19.31
UBQ10	pNRT2.1:luc_1mM_14	19.33
ACT2	pNRT2.1:luc_1mM_14	26.7
ACT2	pNRT2.1:luc_1mM_14	26.64
ACT2	pNRT2.1:luc_1mM_14	26.66
LVG	pNRT2.1:luc_1mM_14	25.19
LVG	pNRT2.1:luc_1mM_14	25.11
LVG	pNRT2.1:luc_1mM_14	25.26
HVG	pNRT2.1:luc_1mM_14	26.03
HVG	pNRT2.1:luc_1mM_14	25.79
HVG	pNRT2.1:luc_1mM_14	26.06
NRT2.1	pNRT2.1:luc_1mM_14	22.14
NRT2.1	pNRT2.1:luc_1mM_14	22.16
NRT2.1	pNRT2.1:luc_1mM_14	22.08
NRT1.1	pNRT2.1:luc_1mM_14	25.6
NRT1.1	pNRT2.1:luc_1mM_14	25.68
NRT1.1	pNRT2.1:luc_1mM_14	25.65
LUC	pNRT2.1:luc_1mM_14	28.66
LUC	pNRT2.1:luc_1mM_14	29.07
LUC	pNRT2.1:luc_1mM_14	29.09
PP2C	pNRT2.1:luc_1mM_14	27.62
PP2C	pNRT2.1:luc_1mM_14	27.72
PP2C	pNRT2.1:luc_1mM_14	27.52
UBQ10	pNRT2.1:luc_1mM_7	19.19
UBQ10	pNRT2.1:luc_1mM_7	19.12
UBQ10	pNRT2.1:luc_1mM_7	19.18
ACT2	pNRT2.1:luc_1mM_7	27.64
ACT2	pNRT2.1:luc_1mM_7	27.47
ACT2	pNRT2.1:luc_1mM_7	27.49
LVG	pNRT2.1:luc_1mM_7	25.57
LVG	pNRT2.1:luc_1mM_7	25.3
