number	plate_info	area	mean	IntDen	median	RawIntDen	length	seedling	genotype	KNO3	plate
1	20220712_pNRT2.1_1mM_N5_luc.tif:0189-0056	1977	358.634	709020	328	709020	246.736	seedling65	pNRT2.1:LUC	1mM	plate9
2	20220712_pNRT2.1_1mM_N5_luc.tif:0175-0111	1678	337.635	566552	313	566552	209.226	seedling66	pNRT2.1:LUC	1mM	plate9
3	20220712_pNRT2.1_1mM_N5_luc.tif:0159-0161	1374	308.214	423486	296	423486	171.122	seedling67	pNRT2.1:LUC	1mM	plate9
4	20220712_pNRT2.1_1mM_N5_luc.tif:0145-0233	1216	350.99	426804	305	426804	150.699	seedling68	pNRT2.1:LUC	1mM	plate9
5	20220712_pNRT2.1_1mM_N5_luc.tif:0203-0283	2033	377.911	768294	344	768294	252.979	seedling69	pNRT2.1:LUC	1mM	plate9
6	20220712_pNRT2.1_1mM_N5_luc.tif:0181-0328	1764	341.673	602711	314	602711	219.847	seedling70	pNRT2.1:LUC	1mM	plate9
7	20220712_pNRT2.1_1mM_N5_luc.tif:0200-0381	2088	374.478	781911	332	781911	260.603	seedling71	pNRT2.1:LUC	1mM	plate9
8	20220712_pNRT2.1_1mM_N5_luc.tif:0199-0441	1800	361.987	651577	315	651577	224.396	seedling72	pNRT2.1:LUC	1mM	plate9
9	20220712_pNRT2.1_1mM_N5_luc.tif:0394-0215	1253	275.947	345761	276	345761	155.249	background	pNRT2.1:LUC	1mM	plate9
10	20220712_pNRT2.1_1mM_N5_luc.tif:0386-0116	1429	275.792	394107	276	394107	177.485	background	pNRT2.1:LUC	1mM	plate9
11	20220712_pNRT2.1_1mM_N5_luc.tif:0412-0424	1407	276.11	388487	276	388487	174.858	background	pNRT2.1:LUC	1mM	plate9
1	20220712_pNRT2.1_1mM_N6_luc_couverclebas.tif:0181-0036	1789	344.523	616352	316	616352	222.665	seedling73	pNRT2.1:LUC	1mM	plate10
2	20220712_pNRT2.1_1mM_N6_luc_couverclebas.tif:0179-0082	1961	376.712	738732	336	738732	243.905	seedling74	pNRT2.1:LUC	1mM	plate10
3	20220712_pNRT2.1_1mM_N6_luc_couverclebas.tif:0182-0142	1968	379.495	746847	328	746847	245.625	seedling75	pNRT2.1:LUC	1mM	plate10
4	20220712_pNRT2.1_1mM_N6_luc_couverclebas.tif:0179-0204	1940	365.987	710014	328	710014	241.913	seedling76	pNRT2.1:LUC	1mM	plate10
5	20220712_pNRT2.1_1mM_N6_luc_couverclebas.tif:0171-0260	1951	380.925	743185	339	743185	243.091	seedling77	pNRT2.1:LUC	1mM	plate10
6	20220712_pNRT2.1_1mM_N6_luc_couverclebas.tif:0180-0321	2066	383.084	791452	343	791452	257.495	seedling78	pNRT2.1:LUC	1mM	plate10
7	20220712_pNRT2.1_1mM_N6_luc_couverclebas.tif:0173-0379	1979	379.746	751517	348	751517	246.102	seedling79	pNRT2.1:LUC	1mM	plate10
8	20220712_pNRT2.1_1mM_N6_luc_couverclebas.tif:0174-0419	1995	362.81	723806	324	723806	248.5	seedling80	pNRT2.1:LUC	1mM	plate10
9	20220712_pNRT2.1_1mM_N6_luc_couverclebas.tif:0408-0183	1421	277.735	394662	278	394662	176.83	background	pNRT2.1:LUC	1mM	plate10
10	20220712_pNRT2.1_1mM_N6_luc_couverclebas.tif:0403-0278	1518	277.742	421612	278	421612	188.854	background	pNRT2.1:LUC	1mM	plate10
11	20220712_pNRT2.1_1mM_N6_luc_couverclebas.tif:0411-0416	1633	277.759	453581	278	453581	203.458	background	pNRT2.1:LUC	1mM	plate10
1	20220712_pNRT2.1_1mM_N7_luc.tif:0187-0047	1828	335.263	612860	304	612860	228.51	seedling81	pNRT2.1:LUC	1mM	plate11
2	20220712_pNRT2.1_1mM_N7_luc.tif:0188-0113	1891	338.868	640800	306	640800	235.477	seedling82	pNRT2.1:LUC	1mM	plate11
3	20220712_pNRT2.1_1mM_N7_luc.tif:0184-0160	1807	342.554	618995	319	618995	224.724	seedling83	pNRT2.1:LUC	1mM	plate11
4	20220712_pNRT2.1_1mM_N7_luc.tif:0166-0208	1698	335.512	569699	312	569699	211.25	seedling84	pNRT2.1:LUC	1mM	plate11
5	20220712_pNRT2.1_1mM_N7_luc.tif:0186-0281	1981	371.063	735075	337	735075	247.35	seedling85	pNRT2.1:LUC	1mM	plate11
6	20220712_pNRT2.1_1mM_N7_luc.tif:0192-0322	2150	392.802	844525	346	844525	267.89	seedling86	pNRT2.1:LUC	1mM	plate11
7	20220712_pNRT2.1_1mM_N7_luc.tif:0192-0381	2062	391.793	807877	356	807877	256.742	seedling87	pNRT2.1:LUC	1mM	plate11
8	20220712_pNRT2.1_1mM_N7_luc.tif:0178-0433	1855	328.47	609311	297	609311	231.431	seedling88	pNRT2.1:LUC	1mM	plate11
9	20220712_pNRT2.1_1mM_N7_luc.tif:0415-0449	1360	278.146	378279	278	378279	169.086	background	pNRT2.1:LUC	1mM	plate11
10	20220712_pNRT2.1_1mM_N7_luc.tif:0406-0228	1415	278.33	393837	278	393837	175.718	background	pNRT2.1:LUC	1mM	plate11
11	20220712_pNRT2.1_1mM_N7_luc.tif:0409-0119	1430	277.963	397487	278	397487	177.92	background	pNRT2.1:LUC	1mM	plate11
1	20220712_pNRT2.1_1mM_N8_luc.tif:0192-0039	1839	311.085	572086	290	572086	229.341	seedling89	pNRT2.1:LUC	1mM	plate12
2	20220712_pNRT2.1_1mM_N8_luc.tif:0196-0087	1985	359.047	712708	325	712708	248.284	seedling90	pNRT2.1:LUC	1mM	plate12
3	20220712_pNRT2.1_1mM_N8_luc.tif:0184-0151	1798	347.939	625595	322	625595	223.673	seedling91	pNRT2.1:LUC	1mM	plate12
4	20220712_pNRT2.1_1mM_N8_luc.tif:0207-0214	2091	355.4	743142	309	743142	261.001	seedling92	pNRT2.1:LUC	1mM	plate12
5	20220712_pNRT2.1_1mM_N8_luc.tif:0208-0270	1965	348.625	685048	320	685048	244.917	seedling93	pNRT2.1:LUC	1mM	plate12
6	20220712_pNRT2.1_1mM_N8_luc.tif:0211-0325	2128	400.225	851679	341	851679	265.785	seedling94	pNRT2.1:LUC	1mM	plate12
7	20220712_pNRT2.1_1mM_N8_luc.tif:0193-0389	1935	349.34	675972	320	675972	240.836	seedling95	pNRT2.1:LUC	1mM	plate12
8	20220712_pNRT2.1_1mM_N8_luc.tif:0200-0427	2034	357.861	727889	326	727889	253.364	seedling96	pNRT2.1:LUC	1mM	plate12
9	20220712_pNRT2.1_1mM_N8_luc.tif:0412-0451	1404	276.575	388312	277	388312	174.229	background	pNRT2.1:LUC	1mM	plate12
10	20220712_pNRT2.1_1mM_N8_luc.tif:0410-0180	1444	276.512	399284	276	399284	179.876	background	pNRT2.1:LUC	1mM	plate12
11	20220712_pNRT2.1_1mM_N8_luc.tif:0411-0059	1425	275.45	392516	275	392516	177.101	background	pNRT2.1:LUC	1mM	plate12
1	20220712_pNRT2.1_10mM_N13_luc.tif:0213-0065	1841	299.989	552279	288	552279	228.682	seedling97	pNRT2.1:LUC	10mM	plate13
2	20220712_pNRT2.1_10mM_N13_luc.tif:0162-0121	1094	342.034	374185	324	374185	135.689	seedling98	pNRT2.1:LUC	10mM	plate13
3	20220712_pNRT2.1_10mM_N13_luc.tif:0235-0182	2192	316.925	694699	291	694699	273.53	seedling99	pNRT2.1:LUC	10mM	plate13
4	20220712_pNRT2.1_10mM_N13_luc.tif:0221-0237	2155	335.871	723801	298	723801	268.914	seedling100	pNRT2.1:LUC	10mM	plate13
5	20220712_pNRT2.1_10mM_N13_luc.tif:0224-0290	2129	327.935	698173	300	698173	266.079	seedling101	pNRT2.1:LUC	10mM	plate13
6	20220712_pNRT2.1_10mM_N13_luc.tif:0224-0345	2090	321.018	670927	297	670927	260.447	seedling102	pNRT2.1:LUC	10mM	plate13
7	20220712_pNRT2.1_10mM_N13_luc.tif:0219-0396	1976	321.955	636184	300	636184	246.494	seedling103	pNRT2.1:LUC	10mM	plate13
8	20220712_pNRT2.1_10mM_N13_luc.tif:0234-0442	1999	335.129	669923	296	669923	249.077	seedling104	pNRT2.1:LUC	10mM	plate13
9	20220712_pNRT2.1_10mM_N13_luc.tif:0423-0467	1273	275.617	350861	276	350861	157.912	background	pNRT2.1:LUC	10mM	plate13
10	20220712_pNRT2.1_10mM_N13_luc.tif:0419-0374	1230	275.643	339041	276	339041	152.772	background	pNRT2.1:LUC	10mM	plate13
11	20220712_pNRT2.1_10mM_N13_luc.tif:0412-0133	1352	275.376	372309	275	372309	168.024	background	pNRT2.1:LUC	10mM	plate13
1	20220712_pNRT2.1_10mM_N14_luc.tif:0218-0071	2080	312.889	650809	291	650809	259.311	seedling105	pNRT2.1:LUC	10mM	plate14
2	20220712_pNRT2.1_10mM_N14_luc.tif:0216-0113	2137	330.083	705388	301	705388	266.41	seedling106	pNRT2.1:LUC	10mM	plate14
3	20220712_pNRT2.1_10mM_N14_luc.tif:0219-0175	2196	320.05	702830	295	702830	273.99	seedling107	pNRT2.1:LUC	10mM	plate14
4	20220712_pNRT2.1_10mM_N14_luc.tif:0220-0212	2186	345.85	756028	302	756028	272.602	seedling108	pNRT2.1:LUC	10mM	plate14
5	20220712_pNRT2.1_10mM_N14_luc.tif:0208-0271	2084	311.911	650023	291	650023	259.941	seedling109	pNRT2.1:LUC	10mM	plate14
6	20220712_pNRT2.1_10mM_N14_luc.tif:0214-0324	2137	329.82	704826	295	704826	266.354	seedling110	pNRT2.1:LUC	10mM	plate14
7	20220712_pNRT2.1_10mM_N14_luc.tif:0205-0410	2073	323.234	670064	292	670064	257.67	seedling111	pNRT2.1:LUC	10mM	plate14
8	20220712_pNRT2.1_10mM_N14_luc.tif:0203-0447	2050	305.303	625872	285	625872	254.914	seedling112	pNRT2.1:LUC	10mM	plate14
9	20220712_pNRT2.1_10mM_N14_luc.tif:0405-0381	1471	276.835	407224	277	407224	183.689	background	pNRT2.1:LUC	10mM	plate14
10	20220712_pNRT2.1_10mM_N14_luc.tif:0425-0246	1343	276.604	371479	277	371479	167.24	background	pNRT2.1:LUC	10mM	plate14
11	20220712_pNRT2.1_10mM_N14_luc.tif:0424-0138	1305	276.705	361100	277	361100	161.689	background	pNRT2.1:LUC	10mM	plate14
1	20220712_pNRT2.1_10mM_N15_luc.tif:0224-0063	2037	333.784	679919	300	679919	253.793	seedling113	pNRT2.1:LUC	10mM	plate15
2	20220712_pNRT2.1_10mM_N15_luc.tif:0232-0118	2183	359.473	784730	309	784730	272.081	seedling114	pNRT2.1:LUC	10mM	plate15
3	20220712_pNRT2.1_10mM_N15_luc.tif:0219-0167	1987	355.328	706036	310	706036	248.504	seedling115	pNRT2.1:LUC	10mM	plate15
4	20220712_pNRT2.1_10mM_N15_luc.tif:0231-0223	2063	319.051	658202	295	658202	257.537	seedling116	pNRT2.1:LUC	10mM	plate15
5	20220712_pNRT2.1_10mM_N15_luc.tif:0238-0291	2165	323.915	701276	298	701276	269.765	seedling117	pNRT2.1:LUC	10mM	plate15
6	20220712_pNRT2.1_10mM_N15_luc.tif:0229-0384	2008	308.072	618608	289	618608	250.601	seedling119	pNRT2.1:LUC	10mM	plate15
7	20220712_pNRT2.1_10mM_N15_luc.tif:0407-0464	1416	276.66	391750	277	391750	176.262	background	pNRT2.1:LUC	10mM	plate15
8	20220712_pNRT2.1_10mM_N15_luc.tif:0411-0344	1469	276.671	406429	277	406429	182.399	background	pNRT2.1:LUC	10mM	plate15
9	20220712_pNRT2.1_10mM_N15_luc.tif:0422-0207	1332	276.731	368606	277	368606	165.788	background	pNRT2.1:LUC	10mM	plate15
1	20220712_pNRT2.1_10mM_N16_luc.tif:0228-0053	2064	300.57	620377	287	620377	256.843	seedling121	pNRT2.1:LUC	10mM	plate16
