number	plate	area	mean	IntDen	median	RawIntDen	length	seedling	genotype	KNO3	PLATE	DAY
1	20230801_AV_30_starvation_T8_1mM_1mM_1mM_N5_luc.tif:0216-0076	2539	315.137	800132	303	800132	316.467	seedling33	pNRT2.1:LUC	1mM->1mM->1mM	plate5	T8
2	20230801_AV_30_starvation_T8_1mM_1mM_1mM_N5_luc.tif:0272-0116	3648	354.731	1294058	323	1294058	455.54	seedling34	pNRT2.1:LUC	1mM->1mM->1mM	plate5	T8
3	20230801_AV_30_starvation_T8_1mM_1mM_1mM_N5_luc.tif:0262-0168	3410	383.27	1306951	352	1306951	426.033	seedling35	pNRT2.1:LUC	1mM->1mM->1mM	plate5	T8
4	20230801_AV_30_starvation_T8_1mM_1mM_1mM_N5_luc.tif:0181-0233	2019	337.189	680785	319	680785	251.493	seedling36	pNRT2.1:LUC	1mM->1mM->1mM	plate5	T8
5	20230801_AV_30_starvation_T8_1mM_1mM_1mM_N5_luc.tif:0205-0281	2350	363.422	854042	334	854042	294.721	seedling37	pNRT2.1:LUC	1mM->1mM->1mM	plate5	T8
6	20230801_AV_30_starvation_T8_1mM_1mM_1mM_N5_luc.tif:0272-0334	3247	419.896	1363402	382	1363402	404.949	seedling38	pNRT2.1:LUC	1mM->1mM->1mM	plate5	T8
7	20230801_AV_30_starvation_T8_1mM_1mM_1mM_N5_luc.tif:0277-0375	3426	404.591	1386130	353	1386130	427.573	seedling39	pNRT2.1:LUC	1mM->1mM->1mM	plate5	T8
8	20230801_AV_30_starvation_T8_1mM_1mM_1mM_N5_luc.tif:0274-0423	3382	385.843	1304921	344	1304921	422.104	seedling40	pNRT2.1:LUC	1mM->1mM->1mM	plate5	T8
9	20230801_AV_30_starvation_T8_1mM_1mM_1mM_N5_luc.tif:0338-0257	2239	288.84	646713	289	646713	278.777	background	pNRT2.1:LUC	1mM->1mM->1mM	plate5	T8
10	20230801_AV_30_starvation_T8_1mM_1mM_1mM_N5_luc.tif:0345-0052	2134	284.962	608109	285	608109	266.293	background	pNRT2.1:LUC	1mM->1mM->1mM	plate5	T8
11	20230801_AV_30_starvation_T8_1mM_1mM_1mM_N5_luc.tif:0345-0220	2304	288.241	664108	288	664108	286.783	background	pNRT2.1:LUC	1mM->1mM->1mM	plate5	T8
1	20230801_AV_30_starvation_T8_1mM_1mM_1mM_N6_luc.tif:0266-0062	3325	350.691	1166048	311	1166048	415.261	seedling41	pNRT2.1:LUC	1mM->1mM->1mM	plate6	T8
2	20230801_AV_30_starvation_T8_1mM_1mM_1mM_N6_luc.tif:0259-0125	3007	355.679	1069526	325	1069526	384.728	seedling42	pNRT2.1:LUC	1mM->1mM->1mM	plate6	T8
3	20230801_AV_30_starvation_T8_1mM_1mM_1mM_N6_luc.tif:0254-0171	3321	385.001	1278589	331	1278589	414.954	seedling43	pNRT2.1:LUC	1mM->1mM->1mM	plate6	T8
4	20230801_AV_30_starvation_T8_1mM_1mM_1mM_N6_luc.tif:0175-0222	2095	337.292	706627	308	706627	261.478	seedling44	pNRT2.1:LUC	1mM->1mM->1mM	plate6	T8
5	20230801_AV_30_starvation_T8_1mM_1mM_1mM_N6_luc.tif:0218-0271	2667	363.133	968476	336	968476	332.367	seedling45	pNRT2.1:LUC	1mM->1mM->1mM	plate6	T8
