number	plate	area	mean	IntDen	median	RawIntDen	length	seedling	genotype	KNO3	PLATE	DAY
1	20230727_AV_30_starvation_T3_1mM_0mM_N1_luc.tif:0153-0078	1447	296.162	428546	290	428546	179.899	seedling1	pNRT2.1:LUC	1mM->0mM->1mM	plate1	T3
2	20230727_AV_30_starvation_T3_1mM_0mM_N1_luc.tif:0173-0123	1789	297.209	531707	291	531707	222.751	seedling2	pNRT2.1:LUC	1mM->0mM->1mM	plate1	T3
3	20230727_AV_30_starvation_T3_1mM_0mM_N1_luc.tif:0164-0178	1720	294.025	505723	288	505723	214.456	seedling3	pNRT2.1:LUC	1mM->0mM->1mM	plate1	T3
4	20230727_AV_30_starvation_T3_1mM_0mM_N1_luc.tif:0170-0224	1815	293.788	533226	289	533226	226.768	seedling4	pNRT2.1:LUC	1mM->0mM->1mM	plate1	T3
5	20230727_AV_30_starvation_T3_1mM_0mM_N1_luc.tif:0185-0269	2013	296.394	596642	291	596642	250.704	seedling5	pNRT2.1:LUC	1mM->0mM->1mM	plate1	T3
6	20230727_AV_30_starvation_T3_1mM_0mM_N1_luc.tif:0186-0331	1971	293.933	579341	290	579341	244.841	seedling6	pNRT2.1:LUC	1mM->0mM->1mM	plate1	T3
7	20230727_AV_30_starvation_T3_1mM_0mM_N1_luc.tif:0173-0384	1724	293.979	506819	289	506819	215.054	seedling7	pNRT2.1:LUC	1mM->0mM->1mM	plate1	T3
8	20230727_AV_30_starvation_T3_1mM_0mM_N1_luc.tif:0166-0437	1566	299.686	469308	292	469308	195.1	seedling8	pNRT2.1:LUC	1mM->0mM->1mM	plate1	T3
9	20230727_AV_30_starvation_T3_1mM_0mM_N1_luc.tif:0391-0385	1514	284.255	430362	284	430362	187.837	background	pNRT2.1:LUC	1mM->0mM->1mM	plate1	T3
10	20230727_AV_30_starvation_T3_1mM_0mM_N1_luc.tif:0396-0292	1412	283.882	400842	284	400842	176.015	background	pNRT2.1:LUC	1mM->0mM->1mM	plate1	T3
11	20230727_AV_30_starvation_T3_1mM_0mM_N1_luc.tif:0397-0232	1449	284.098	411658	284	411658	179.799	background	pNRT2.1:LUC	1mM->0mM->1mM	plate1	T3
1	20230727_AV_30_starvation_T3_1mM_0mM_N2_luc.tif:0162-0067	1665	296.778	494136	291	494136	208.194	seedling9	pNRT2.1:LUC	1mM->0mM->1mM	plate2	T3
2	20230727_AV_30_starvation_T3_1mM_0mM_N2_luc.tif:0153-0117	1606	295.575	474694	290	474694	199.312	seedling10	pNRT2.1:LUC	1mM->0mM->1mM	plate2	T3
3	20230727_AV_30_starvation_T3_1mM_0mM_N2_luc.tif:0173-0162	2024	297.249	601631	291	601631	251.776	seedling11	pNRT2.1:LUC	1mM->0mM->1mM	plate2	T3
4	20230727_AV_30_starvation_T3_1mM_0mM_N2_luc.tif:0156-0221	1610	293.935	473235	290	473235	201.242	seedling12	pNRT2.1:LUC	1mM->0mM->1mM	plate2	T3
5	20230727_AV_30_starvation_T3_1mM_0mM_N2_luc.tif:0134-0269	1238	292.584	362219	289	362219	153.923	seedling13	pNRT2.1:LUC	1mM->0mM->1mM	plate2	T3
6	20230727_AV_30_starvation_T3_1mM_0mM_N2_luc.tif:0175-0320	1837	297.366	546261	292	546261	228.857	seedling14	pNRT2.1:LUC	1mM->0mM->1mM	plate2	T3
7	20230727_AV_30_starvation_T3_1mM_0mM_N2_luc.tif:0184-0375	2029	296.777	602160	291	602160	253.612	seedling15	pNRT2.1:LUC	1mM->0mM->1mM	plate2	T3
8	20230727_AV_30_starvation_T3_1mM_0mM_N2_luc.tif:0177-0438	2006	298.511	598813	292	598813	249.654	seedling16	pNRT2.1:LUC	1mM->0mM->1mM	plate2	T3
9	20230727_AV_30_starvation_T3_1mM_0mM_N2_luc.tif:0370-0260	1642	284.739	467541	285	467541	204.416	background	pNRT2.1:LUC	1mM->0mM->1mM	plate2	T3
10	20230727_AV_30_starvation_T3_1mM_0mM_N2_luc.tif:0400-0401	1478	284.961	421173	285	421173	183.634	background	pNRT2.1:LUC	1mM->0mM->1mM	plate2	T3
11	20230727_AV_30_starvation_T3_1mM_0mM_N2_luc.tif:0371-0087	1314	284.557	373908	285	373908	163.224	background	pNRT2.1:LUC	1mM->0mM->1mM	plate2	T3
1	20230727_AV_30_starvation_T3_1mM_0mM_N3_luc.tif:0170-0067	1715	295.126	506141	290	506141	213.547	seedling17	pNRT2.1:LUC	1mM->0mM->1mM	plate3	T3
2	20230727_AV_30_starvation_T3_1mM_0mM_N3_luc.tif:0182-0096	1976	298.843	590513	292	590513	247.438	seedling18	pNRT2.1:LUC	1mM->0mM->1mM	plate3	T3
3	20230727_AV_30_starvation_T3_1mM_0mM_N3_luc.tif:0144-0160	1519	294.373	447152	290	447152	189.476	seedling19	pNRT2.1:LUC	1mM->0mM->1mM	plate3	T3
4	20230727_AV_30_starvation_T3_1mM_0mM_N3_luc.tif:0178-0212	1960	296.723	581578	292	581578	244.497	seedling20	pNRT2.1:LUC	1mM->0mM->1mM	plate3	T3
5	20230727_AV_30_starvation_T3_1mM_0mM_N3_luc.tif:0170-0279	1759	296.638	521786	291	521786	219.197	seedling21	pNRT2.1:LUC	1mM->0mM->1mM	plate3	T3
6	20230727_AV_30_starvation_T3_1mM_0mM_N3_luc.tif:0172-0325	1781	298.792	532148	293	532148	222.036	seedling22	pNRT2.1:LUC	1mM->0mM->1mM	plate3	T3
7	20230727_AV_30_starvation_T3_1mM_0mM_N3_luc.tif:0144-0375	1441	299.183	431123	293	431123	179.801	seedling23	pNRT2.1:LUC	1mM->0mM->1mM	plate3	T3
8	20230727_AV_30_starvation_T3_1mM_0mM_N3_luc.tif:0150-0431	1493	296.96	443361	291	443361	186.038	seedling24	pNRT2.1:LUC	1mM->0mM->1mM	plate3	T3
9	20230727_AV_30_starvation_T3_1mM_0mM_N3_luc.tif:0382-0399	1505	285.236	429280	285	429280	187.137	background	pNRT2.1:LUC	1mM->0mM->1mM	plate3	T3
10	20230727_AV_30_starvation_T3_1mM_0mM_N3_luc.tif:0373-0250	1576	284.937	449061	285	449061	195.705	background	pNRT2.1:LUC	1mM->0mM->1mM	plate3	T3
11	20230727_AV_30_starvation_T3_1mM_0mM_N3_luc.tif:0385-0173	1569	285.064	447266	285	447266	195.029	background	pNRT2.1:LUC	1mM->0mM->1mM	plate3	T3
1	20230727_AV_30_starvation_T3_1mM_0mM_N4_luc.tif:0168-0062	1654	305.201	504802	295	504802	205.675	seedling25	pNRT2.1:LUC	1mM->0mM->1mM	plate4	T3
2	20230727_AV_30_starvation_T3_1mM_0mM_N4_luc.tif:0154-0115	1548	297.713	460860	292	460860	192.46	seedling26	pNRT2.1:LUC	1mM->0mM->1mM	plate4	T3
4	20230727_AV_30_starvation_T3_1mM_0mM_N4_luc.tif:0144-0208	1439	295.234	424842	290	424842	178.612	seedling28	pNRT2.1:LUC	1mM->0mM->1mM	plate4	T3
6	20230727_AV_30_starvation_T3_1mM_0mM_N4_luc.tif:0157-0319	1540	303.484	467365	296	467365	191.496	seedling30	pNRT2.1:LUC	1mM->0mM->1mM	plate4	T3
7	20230727_AV_30_starvation_T3_1mM_0mM_N4_luc.tif:0133-0370	1212	296.718	359622	292	359622	150.265	seedling31	pNRT2.1:LUC	1mM->0mM->1mM	plate4	T3
9	20230727_AV_30_starvation_T3_1mM_0mM_N4_luc.tif:0380-0376	1583	285.251	451553	285	451553	196.658	background	pNRT2.1:LUC	1mM->0mM->1mM	plate4	T3
10	20230727_AV_30_starvation_T3_1mM_0mM_N4_luc.tif:0385-0223	1481	285.159	422320	285	422320	184.199	background	pNRT2.1:LUC	1mM->0mM->1mM	plate4	T3
11	20230727_AV_30_starvation_T3_1mM_0mM_N4_luc.tif:0394-0151	1362	285.106	388315	285	388315	169.627	background	pNRT2.1:LUC	1mM->0mM->1mM	plate4	T3
1	20230727_AV_30_starvation_T3_1mM_1mM_N5_luc.tif:0153-0061	1433	303.127	434381	292	434381	177.74	seedling33	pNRT2.1:LUC	1mM->1mM->1mM	plate5	T3
2	20230727_AV_30_starvation_T3_1mM_1mM_N5_luc.tif:0204-0118	2290	356.597	816607	328	816607	285.475	seedling34	pNRT2.1:LUC	1mM->1mM->1mM	plate5	T3
3	20230727_AV_30_starvation_T3_1mM_1mM_N5_luc.tif:0179-0166	2006	373.701	749645	336	749645	249.502	seedling35	pNRT2.1:LUC	1mM->1mM->1mM	plate5	T3
4	20230727_AV_30_starvation_T3_1mM_1mM_N5_luc.tif:0133-0216	1215	297.492	361453	293	361453	150.553	seedling36	pNRT2.1:LUC	1mM->1mM->1mM	plate5	T3
5	20230727_AV_30_starvation_T3_1mM_1mM_N5_luc.tif:0139-0265	1344	309.094	415422	300	415422	166.477	seedling37	pNRT2.1:LUC	1mM->1mM->1mM	plate5	T3
6	20230727_AV_30_starvation_T3_1mM_1mM_N5_luc.tif:0181-0327	1934	399.484	772602	364	772602	241.328	seedling38	pNRT2.1:LUC	1mM->1mM->1mM	plate5	T3
7	20230727_AV_30_starvation_T3_1mM_1mM_N5_luc.tif:0190-0381	2051	416.417	854071	375	854071	256.167	seedling39	pNRT2.1:LUC	1mM->1mM->1mM	plate5	T3
8	20230727_AV_30_starvation_T3_1mM_1mM_N5_luc.tif:0178-0439	1927	379.891	732050	338	732050	240.441	seedling40	pNRT2.1:LUC	1mM->1mM->1mM	plate5	T3
9	20230727_AV_30_starvation_T3_1mM_1mM_N5_luc.tif:0378-0412	1580	286.191	452182	286	452182	196.919	background	pNRT2.1:LUC	1mM->1mM->1mM	plate5	T3
10	20230727_AV_30_starvation_T3_1mM_1mM_N5_luc.tif:0383-0287	1577	285.752	450631	286	450631	196.154	background	pNRT2.1:LUC	1mM->1mM->1mM	plate5	T3
11	20230727_AV_30_starvation_T3_1mM_1mM_N5_luc.tif:0379-0093	1429	285.423	407869	285	407869	177.687	background	pNRT2.1:LUC	1mM->1mM->1mM	plate5	T3
1	20230727_AV_30_starvation_T3_1mM_1mM_N6_luc.tif:0184-0068	1853	357.759	662928	328	662928	230.439	seedling41	pNRT2.1:LUC	1mM->1mM->1mM	plate6	T3
2	20230727_AV_30_starvation_T3_1mM_1mM_N6_luc.tif:0165-0119	1726	362.293	625317	325	625317	215.665	seedling42	pNRT2.1:LUC	1mM->1mM->1mM	plate6	T3
3	20230727_AV_30_starvation_T3_1mM_1mM_N6_luc.tif:0174-0192	1925	414.832	798552	372	798552	239.874	seedling43	pNRT2.1:LUC	1mM->1mM->1mM	plate6	T3
4	20230727_AV_30_starvation_T3_1mM_1mM_N6_luc.tif:0134-0222	1201	308.077	370001	297	370001	149.125	seedling44	pNRT2.1:LUC	1mM->1mM->1mM	plate6	T3
5	20230727_AV_30_starvation_T3_1mM_1mM_N6_luc.tif:0157-0266	1565	345.315	540418	320	540418	195.156	seedling45	pNRT2.1:LUC	1mM->1mM->1mM	plate6	T3
6	20230727_AV_30_starvation_T3_1mM_1mM_N6_luc.tif:0176-0327	1918	353.23	677495	328	677495	238.769	seedling46	pNRT2.1:LUC	1mM->1mM->1mM	plate6	T3
7	20230727_AV_30_starvation_T3_1mM_1mM_N6_luc.tif:0137-0384	1182	300.814	355562	291	355562	147.312	seedling47	pNRT2.1:LUC	1mM->1mM->1mM	plate6	T3
8	20230727_AV_30_starvation_T3_1mM_1mM_N6_luc.tif:0189-0423	2064	356.322	735448	323	735448	256.861	seedling48	pNRT2.1:LUC	1mM->1mM->1mM	plate6	T3
9	20230727_AV_30_starvation_T3_1mM_1mM_N6_luc.tif:0373-0445	1466	285.185	418081	285	418081	182.279	background	pNRT2.1:LUC	1mM->1mM->1mM	plate6	T3
10	20230727_AV_30_starvation_T3_1mM_1mM_N6_luc.tif:0382-0372	1566	285.273	446737	285	446737	194.867	background	pNRT2.1:LUC	1mM->1mM->1mM	plate6	T3
11	20230727_AV_30_starvation_T3_1mM_1mM_N6_luc.tif:0370-0263	1762	285.575	503184	286	503184	219.178	background	pNRT2.1:LUC	1mM->1mM->1mM	plate6	T3
1	20230727_AV_30_starvation_T3_1mM_1mM_N7_luc.tif:0155-0048	1344	338.516	454965	310	454965	167.646	seedling49	pNRT2.1:LUC	1mM->1mM->1mM	plate7	T3
2	20230727_AV_30_starvation_T3_1mM_1mM_N7_luc.tif:0181-0104	1791	370.365	663323	330	663323	222.998	seedling50	pNRT2.1:LUC	1mM->1mM->1mM	plate7	T3
3	20230727_AV_30_starvation_T3_1mM_1mM_N7_luc.tif:0182-0155	2040	361.751	737973	333	737973	253.692	seedling51	pNRT2.1:LUC	1mM->1mM->1mM	plate7	T3
4	20230727_AV_30_starvation_T3_1mM_1mM_N7_luc.tif:0175-0205	2054	357.947	735224	329	735224	256.732	seedling52	pNRT2.1:LUC	1mM->1mM->1mM	plate7	T3
5	20230727_AV_30_starvation_T3_1mM_1mM_N7_luc.tif:0158-0269	1777	348.465	619223	320	619223	221.934	seedling53	pNRT2.1:LUC	1mM->1mM->1mM	plate7	T3
