number	plate	area	mean	IntDen	median	RawIntDen	length	seedling	genotype	KNO3	PLATE	DAY
1	20230727_AV_30_starvation_T3_1mM_1mM_N5_luc.tif:0153-0061	1433	303.127	434381	292	434381	177.74	seedling33	pNRT2.1:LUC	1mM->1mM->1mM	plate5	T3
2	20230727_AV_30_starvation_T3_1mM_1mM_N5_luc.tif:0204-0118	2290	356.597	816607	328	816607	285.475	seedling34	pNRT2.1:LUC	1mM->1mM->1mM	plate5	T3
3	20230727_AV_30_starvation_T3_1mM_1mM_N5_luc.tif:0179-0166	2006	373.701	749645	336	749645	249.502	seedling35	pNRT2.1:LUC	1mM->1mM->1mM	plate5	T3
4	20230727_AV_30_starvation_T3_1mM_1mM_N5_luc.tif:0133-0216	1215	297.492	361453	293	361453	150.553	seedling36	pNRT2.1:LUC	1mM->1mM->1mM	plate5	T3
5	20230727_AV_30_starvation_T3_1mM_1mM_N5_luc.tif:0139-0265	1344	309.094	415422	300	415422	166.477	seedling37	pNRT2.1:LUC	1mM->1mM->1mM	plate5	T3
6	20230727_AV_30_starvation_T3_1mM_1mM_N5_luc.tif:0181-0327	1934	399.484	772602	364	772602	241.328	seedling38	pNRT2.1:LUC	1mM->1mM->1mM	plate5	T3
7	20230727_AV_30_starvation_T3_1mM_1mM_N5_luc.tif:0190-0381	2051	416.417	854071	375	854071	256.167	seedling39	pNRT2.1:LUC	1mM->1mM->1mM	plate5	T3
8	20230727_AV_30_starvation_T3_1mM_1mM_N5_luc.tif:0178-0439	1927	379.891	732050	338	732050	240.441	seedling40	pNRT2.1:LUC	1mM->1mM->1mM	plate5	T3
9	20230727_AV_30_starvation_T3_1mM_1mM_N5_luc.tif:0378-0412	1580	286.191	452182	286	452182	196.919	background	pNRT2.1:LUC	1mM->1mM->1mM	plate5	T3
10	20230727_AV_30_starvation_T3_1mM_1mM_N5_luc.tif:0383-0287	1577	285.752	450631	286	450631	196.154	background	pNRT2.1:LUC	1mM->1mM->1mM	plate5	T3
11	20230727_AV_30_starvation_T3_1mM_1mM_N5_luc.tif:0379-0093	1429	285.423	407869	285	407869	177.687	background	pNRT2.1:LUC	1mM->1mM->1mM	plate5	T3
1	20230727_AV_30_starvation_T3_1mM_1mM_N6_luc.tif:0184-0068	1853	357.759	662928	328	662928	230.439	seedling41	pNRT2.1:LUC	1mM->1mM->1mM	plate6	T3
2	20230727_AV_30_starvation_T3_1mM_1mM_N6_luc.tif:0165-0119	1726	362.293	625317	325	625317	215.665	seedling42	pNRT2.1:LUC	1mM->1mM->1mM	plate6	T3
3	20230727_AV_30_starvation_T3_1mM_1mM_N6_luc.tif:0174-0192	1925	414.832	798552	372	798552	239.874	seedling43	pNRT2.1:LUC	1mM->1mM->1mM	plate6	T3
4	20230727_AV_30_starvation_T3_1mM_1mM_N6_luc.tif:0134-0222	1201	308.077	370001	297	370001	149.125	seedling44	pNRT2.1:LUC	1mM->1mM->1mM	plate6	T3
5	20230727_AV_30_starvation_T3_1mM_1mM_N6_luc.tif:0157-0266	1565	345.315	540418	320	540418	195.156	seedling45	pNRT2.1:LUC	1mM->1mM->1mM	plate6	T3
6	20230727_AV_30_starvation_T3_1mM_1mM_N6_luc.tif:0176-0327	1918	353.23	677495	328	677495	238.769	seedling46	pNRT2.1:LUC	1mM->1mM->1mM	plate6	T3
7	20230727_AV_30_starvation_T3_1mM_1mM_N6_luc.tif:0137-0384	1182	300.814	355562	291	355562	147.312	seedling47	pNRT2.1:LUC	1mM->1mM->1mM	plate6	T3
8	20230727_AV_30_starvation_T3_1mM_1mM_N6_luc.tif:0189-0423	2064	356.322	735448	323	735448	256.861	seedling48	pNRT2.1:LUC	1mM->1mM->1mM	plate6	T3
9	20230727_AV_30_starvation_T3_1mM_1mM_N6_luc.tif:0373-0445	1466	285.185	418081	285	418081	182.279	background	pNRT2.1:LUC	1mM->1mM->1mM	plate6	T3
10	20230727_AV_30_starvation_T3_1mM_1mM_N6_luc.tif:0382-0372	1566	285.273	446737	285	446737	194.867	background	pNRT2.1:LUC	1mM->1mM->1mM	plate6	T3
11	20230727_AV_30_starvation_T3_1mM_1mM_N6_luc.tif:0370-0263	1762	285.575	503184	286	503184	219.178	background	pNRT2.1:LUC	1mM->1mM->1mM	plate6	T3
1	20230727_AV_30_starvation_T3_1mM_1mM_N7_luc.tif:0155-0048	1344	338.516	454965	310	454965	167.646	seedling49	pNRT2.1:LUC	1mM->1mM->1mM	plate7	T3
