number	plate	area	mean	IntDen	median	RawIntDen	length	seedling	genotype	KNO3	PLATE	DAY
1	20230726_AV_30_starvation_T2_1mM_1mM_N5_luc.tif:0147-0065	1205	306.894	369807	295	369807	149.967	seedling33	pNRT2.1:LUC	1mM->1mM->1mM	plate5	T2
2	20230726_AV_30_starvation_T2_1mM_1mM_N5_luc.tif:0191-0121	1957	373.699	731329	341	731329	243.748	seedling34	pNRT2.1:LUC	1mM->1mM->1mM	plate5	T2
3	20230726_AV_30_starvation_T2_1mM_1mM_N5_luc.tif:0167-0169	1664	390.959	650556	340	650556	207.661	seedling35	pNRT2.1:LUC	1mM->1mM->1mM	plate5	T2
4	20230726_AV_30_starvation_T2_1mM_1mM_N5_luc.tif:0136-0219	1052	298.471	313992	294	313992	130.934	seedling36	pNRT2.1:LUC	1mM->1mM->1mM	plate5	T2
5	20230726_AV_30_starvation_T2_1mM_1mM_N5_luc.tif:0139-0270	1105	309.859	342394	300	342394	137.562	seedling37	pNRT2.1:LUC	1mM->1mM->1mM	plate5	T2
6	20230726_AV_30_starvation_T2_1mM_1mM_N5_luc.tif:0176-0331	1697	374.643	635770	336	635770	211.251	seedling38	pNRT2.1:LUC	1mM->1mM->1mM	plate5	T2
7	20230726_AV_30_starvation_T2_1mM_1mM_N5_luc.tif:0180-0387	1749	467.277	817268	401	817268	217.229	seedling39	pNRT2.1:LUC	1mM->1mM->1mM	plate5	T2
8	20230726_AV_30_starvation_T2_1mM_1mM_N5_luc.tif:0173-0446	1659	411.074	681972	347	681972	206.907	seedling40	pNRT2.1:LUC	1mM->1mM->1mM	plate5	T2
9	20230726_AV_30_starvation_T2_1mM_1mM_N5_luc.tif:0401-0425	1305	287.71	375461	288	375461	162.343	background		1mM->1mM->1mM	plate5	T2
10	20230726_AV_30_starvation_T2_1mM_1mM_N5_luc.tif:0394-0289	1347	287.412	387144	287	387144	167.86	background		1mM->1mM->1mM	plate5	T2
