number	plate	area	mean	IntDen	median	RawIntDen	length	seedling	genotype	KNO3	PLATE	DAY
1	20230729_AV_30_starvation_T5_1mM_1mM_1mM_N5_luc.tif:0163-0073	1765	298.273	526452	288	526452	219.734	seedling33	pNRT2.1:LUC	1mM->1mM->1mM	plate5	T5
2	20230729_AV_30_starvation_T5_1mM_1mM_1mM_N5_luc.tif:0211-0117	2805	346.596	972202	312	972202	349.705	seedling34	pNRT2.1:LUC	1mM->1mM->1mM	plate5	T5
3	20230729_AV_30_starvation_T5_1mM_1mM_1mM_N5_luc.tif:0200-0169	2538	352.656	895040	322	895040	317.172	seedling35	pNRT2.1:LUC	1mM->1mM->1mM	plate5	T5
4	20230729_AV_30_starvation_T5_1mM_1mM_1mM_N5_luc.tif:0141-0233	1488	295.98	440418	290	440418	184.799	seedling36	pNRT2.1:LUC	1mM->1mM->1mM	plate5	T5
5	20230729_AV_30_starvation_T5_1mM_1mM_1mM_N5_luc.tif:0168-0283	1849	302.592	559493	294	559493	230.261	seedling37	pNRT2.1:LUC	1mM->1mM->1mM	plate5	T5
6	20230729_AV_30_starvation_T5_1mM_1mM_1mM_N5_luc.tif:0209-0330	2481	395.475	981173	357	981173	309.452	seedling38	pNRT2.1:LUC	1mM->1mM->1mM	plate5	T5
7	20230729_AV_30_starvation_T5_1mM_1mM_1mM_N5_luc.tif:0226-0377	2745	436.162	1197266	369	1197266	341.505	seedling39	pNRT2.1:LUC	1mM->1mM->1mM	plate5	T5
8	20230729_AV_30_starvation_T5_1mM_1mM_1mM_N5_luc.tif:0208-0426	2463	361.761	891018	323	891018	307.124	seedling40	pNRT2.1:LUC	1mM->1mM->1mM	plate5	T5
9	20230729_AV_30_starvation_T5_1mM_1mM_1mM_N5_luc.tif:0342-0457	1838	285.225	524244	285	524244	228.32	background	pNRT2.1:LUC	1mM->1mM->1mM	plate5	T5
10	20230729_AV_30_starvation_T5_1mM_1mM_1mM_N5_luc.tif:0389-0324	1377	285.077	392551	285	392551	171.167	background	pNRT2.1:LUC	1mM->1mM->1mM	plate5	T5
11	20230729_AV_30_starvation_T5_1mM_1mM_1mM_N5_luc.tif:0363-0228	1786	284.678	508435	285	508435	222.271	background	pNRT2.1:LUC	1mM->1mM->1mM	plate5	T5
1	20230729_AV_30_starvation_T5_1mM_1mM_1mM_N6_luc.tif:0215-0065	2573	345.578	889172	311	889172	320.162	seedling41	pNRT2.1:LUC	1mM->1mM->1mM	plate6	T5
2	20230729_AV_30_starvation_T5_1mM_1mM_1mM_N6_luc.tif:0195-0119	2256	339.25	765349	310	765349	281.125	seedling42	pNRT2.1:LUC	1mM->1mM->1mM	plate6	T5
3	20230729_AV_30_starvation_T5_1mM_1mM_1mM_N6_luc.tif:0209-0177	2569	364.503	936407	318	936407	320.348	seedling43	pNRT2.1:LUC	1mM->1mM->1mM	plate6	T5
4	20230729_AV_30_starvation_T5_1mM_1mM_1mM_N6_luc.tif:0145-0229	1582	307.655	486710	295	486710	196.752	seedling44	pNRT2.1:LUC	1mM->1mM->1mM	plate6	T5
5	20230729_AV_30_starvation_T5_1mM_1mM_1mM_N6_luc.tif:0177-0276	2011	326.027	655641	305	655641	249.916	seedling45	pNRT2.1:LUC	1mM->1mM->1mM	plate6	T5
6	20230729_AV_30_starvation_T5_1mM_1mM_1mM_N6_luc.tif:0197-0333	2389	328.915	785777	303	785777	298.868	seedling46	pNRT2.1:LUC	1mM->1mM->1mM	plate6	T5
7	20230729_AV_30_starvation_T5_1mM_1mM_1mM_N6_luc.tif:0147-0374	1514	307.678	465825	294	465825	191.151	seedling47	pNRT2.1:LUC	1mM->1mM->1mM	plate6	T5
8	20230729_AV_30_starvation_T5_1mM_1mM_1mM_N6_luc.tif:0217-0419	2625	324.86	852757	297	852757	326.924	seedling48	pNRT2.1:LUC	1mM->1mM->1mM	plate6	T5
9	20230729_AV_30_starvation_T5_1mM_1mM_1mM_N6_luc.tif:0355-0452	1954	283.434	553831	283	553831	243.153	background	pNRT2.1:LUC	1mM->1mM->1mM	plate6	T5
10	20230729_AV_30_starvation_T5_1mM_1mM_1mM_N6_luc.tif:0375-0316	1955	283.547	554335	284	554335	243.433	background	pNRT2.1:LUC	1mM->1mM->1mM	plate6	T5
11	20230729_AV_30_starvation_T5_1mM_1mM_1mM_N6_luc.tif:0367-0215	1867	283.973	530177	284	530177	232.205	background	pNRT2.1:LUC	1mM->1mM->1mM	plate6	T5
1	20230729_AV_30_starvation_T5_1mM_1mM_1mM_N7_luc.tif:0174-0068	1870	318.926	596392	295	596392	233.207	seedling49	pNRT2.1:LUC	1mM->1mM->1mM	plate7	T5
2	20230729_AV_30_starvation_T5_1mM_1mM_1mM_N7_luc.tif:0198-0111	2440	360.512	879650	324	879650	304.187	seedling50	pNRT2.1:LUC	1mM->1mM->1mM	plate7	T5
3	20230729_AV_30_starvation_T5_1mM_1mM_1mM_N7_luc.tif:0213-0174	2574	362.235	932394	329	932394	320.805	seedling51	pNRT2.1:LUC	1mM->1mM->1mM	plate7	T5
4	20230729_AV_30_starvation_T5_1mM_1mM_1mM_N7_luc.tif:0213-0221	2596	339.381	881033	319	881033	324.764	seedling52	pNRT2.1:LUC	1mM->1mM->1mM	plate7	T5
5	20230729_AV_30_starvation_T5_1mM_1mM_1mM_N7_luc.tif:0199-0278	2346	327.369	768008	304	768008	291.75	seedling53	pNRT2.1:LUC	1mM->1mM->1mM	plate7	T5
6	20230729_AV_30_starvation_T5_1mM_1mM_1mM_N7_luc.tif:0167-0339	1882	308.739	581046	294	581046	234.555	seedling54	pNRT2.1:LUC	1mM->1mM->1mM	plate7	T5
7	20230729_AV_30_starvation_T5_1mM_1mM_1mM_N7_luc.tif:0184-0381	2090	339.313	709164	312	709164	260.682	seedling55	pNRT2.1:LUC	1mM->1mM->1mM	plate7	T5
8	20230729_AV_30_starvation_T5_1mM_1mM_1mM_N7_luc.tif:0205-0424	2321	358.567	832233	313	832233	289.639	seedling56	pNRT2.1:LUC	1mM->1mM->1mM	plate7	T5
9	20230729_AV_30_starvation_T5_1mM_1mM_1mM_N7_luc.tif:0343-0464	2019	283.779	572950	284	572950	251.635	background	pNRT2.1:LUC	1mM->1mM->1mM	plate7	T5
10	20230729_AV_30_starvation_T5_1mM_1mM_1mM_N7_luc.tif:0345-0305	2240	283.981	636117	284	636117	279.763	background	pNRT2.1:LUC	1mM->1mM->1mM	plate7	T5
11	20230729_AV_30_starvation_T5_1mM_1mM_1mM_N7_luc.tif:0351-0151	2042	284.624	581203	285	581203	254.098	background	pNRT2.1:LUC	1mM->1mM->1mM	plate7	T5
1	20230729_AV_30_starvation_T5_1mM_1mM_1mM_N8_luc.tif:0224-0061	2370	316.012	748949	298	748949	296.603	seedling57	pNRT2.1:LUC	1mM->1mM->1mM	plate8	T5
2	20230729_AV_30_starvation_T5_1mM_1mM_1mM_N8_luc.tif:0225-0109	2603	387.829	1009519	336	1009519	324.673	seedling58	pNRT2.1:LUC	1mM->1mM->1mM	plate8	T5
3	20230729_AV_30_starvation_T5_1mM_1mM_1mM_N8_luc.tif:0214-0161	2598	356.033	924975	323	924975	323.588	seedling59	pNRT2.1:LUC	1mM->1mM->1mM	plate8	T5
4	20230729_AV_30_starvation_T5_1mM_1mM_1mM_N8_luc.tif:0218-0214	2526	366.53	925854	325	925854	314.749	seedling60	pNRT2.1:LUC	1mM->1mM->1mM	plate8	T5
5	20230729_AV_30_starvation_T5_1mM_1mM_1mM_N8_luc.tif:0182-0277	2159	343.32	741227	316	741227	270.273	seedling61	pNRT2.1:LUC	1mM->1mM->1mM	plate8	T5
6	20230729_AV_30_starvation_T5_1mM_1mM_1mM_N8_luc.tif:0178-0336	2173	331.205	719709	307	719709	271.876	seedling62	pNRT2.1:LUC	1mM->1mM->1mM	plate8	T5
7	20230729_AV_30_starvation_T5_1mM_1mM_1mM_N8_luc.tif:0210-0380	2549	342.25	872395	315	872395	317.175	seedling63	pNRT2.1:LUC	1mM->1mM->1mM	plate8	T5
8	20230729_AV_30_starvation_T5_1mM_1mM_1mM_N8_luc.tif:0206-0419	2563	328.222	841232	303	841232	319.271	seedling64	pNRT2.1:LUC	1mM->1mM->1mM	plate8	T5
9	20230729_AV_30_starvation_T5_1mM_1mM_1mM_N8_luc.tif:0379-0455	1783	283.538	505548	284	505548	221.529	background	pNRT2.1:LUC	1mM->1mM->1mM	plate8	T5
10	20230729_AV_30_starvation_T5_1mM_1mM_1mM_N8_luc.tif:0374-0255	1734	284.102	492633	284	492633	215.679	background	pNRT2.1:LUC	1mM->1mM->1mM	plate8	T5
11	20230729_AV_30_starvation_T5_1mM_1mM_1mM_N8_luc.tif:0348-0335	2071	284.205	588588	284	588588	257.275	background	pNRT2.1:LUC	1mM->1mM->1mM	plate8	T5
